code,event,participants

RUS,Cross Country Skiing Men's Sprint,16

RUS,Cross Country Skiing Men's 4 x 10 kilometres Relay,24

RUS,Cross Country Skiing Men's Team Sprint,6

RUS,Swimming Men's 4 x 100 metres Medley Relay,34

RUS,Short Track Speed Skating Men's 500 metres,9

RUS,"Short Track Speed Skating Men's 1,000 metres",9

RUS,"Short Track Speed Skating Men's 1,500 metres",6

RUS,"Short Track Speed Skating Men's 5,000 metres Relay",4

RUS,Luge Women's Singles,16

RUS,Athletics Men's Marathon,19

RUS,Tennis Men's Singles,19

RUS,"Fencing Men's Sabre, Individual",29

RUS,"Fencing Men's Sabre, Team",24

RUS,Athletics Men's 20 kilometres Walk,14

RUS,Swimming Women's 200 metres Breaststroke,9

RUS,"Cycling Women's Mountainbike, Cross-Country",8

RUS,Swimming Women's 4 x 200 metres Freestyle Relay,17

RUS,Swimming Women's 200 metres Individual Medley,6

RUS,Athletics Men's 50 kilometres Walk,14

RUS,Swimming Men's 4 x 200 metres Freestyle Relay,23

RUS,Handball Women's Handball,43

RUS,"Fencing Men's epee, Individual",18

RUS,"Fencing Men's epee, Team",17

RUS,"Canoeing Men's Kayak Singles, 1,000 metres",4

RUS,"Canoeing Men's Kayak Fours, 1,000 metres",20

RUS,Basketball Men's Basketball,36

RUS,Luge Mixed (Men)'s Doubles,24

RUS,Luge Mixed Team Relay,4

RUS,Athletics Women's 100 metres Hurdles,15

RUS,Synchronized Swimming Women's Team,53

RUS,"Cycling Women's Road Race, Individual",16

RUS,Cycling Women's Individual Time Trial,10

RUS,Badminton Men's Singles,5

RUS,Badminton Men's Doubles,6

RUS,Athletics Women's 400 metres,12

RUS,Athletics Women's 4 x 400 metres Relay,28

RUS,Athletics Women's 400 metres Hurdles,13

RUS,"Speed Skating Men's 1,500 metres",22

RUS,"Speed Skating Men's 5,000 metres",16

RUS,"Speed Skating Men's 10,000 metres",8

RUS,"Speed Skating Men's 1,000 metres",23

RUS,"Canoeing Women's Kayak Singles, 500 metres",4

RUS,"Canoeing Women's Kayak Doubles, 500 metres",8

RUS,Water Polo Men's Water Polo,38

RUS,"Cycling Men's Road Race, Individual",36

RUS,"Cycling Men's Road Race, Team",10

RUS,Athletics Men's 800 metres,12

RUS,Freestyle Skiing Men's Aerials,10

RUS,Curling Men's Curling,5

RUS,Cross Country Skiing Men's 15 kilometres,16

RUS,Cross Country Skiing Men's 30 km Skiathlon,12

RUS,Handball Men's Handball,57

RUS,"Equestrianism Mixed Three-Day Event, Individual",7

RUS,Weightlifting Men's Light-Heavyweight,3

RUS,Athletics Women's Shot Put,15

RUS,Figure Skating Mixed Ice Dancing,34

RUS,Shooting Women's Skeet,6

RUS,Snowboarding Men's Halfpipe,4

RUS,"Ski Jumping Women's Normal Hill, Individual",1

RUS,Boxing Men's Light-Flyweight,5

RUS,"Wrestling Men's Featherweight, Freestyle",6

RUS,"Fencing Women's epee, Individual",17

RUS,"Fencing Women's epee, Team",19

RUS,Athletics Men's Pole Vault,17

RUS,Cross Country Skiing Men's 50 kilometres,24

RUS,Cross Country Skiing Men's 30 kilometres,12

RUS,Bobsleigh Women's Two,12

RUS,Swimming Women's 100 metres Breaststroke,9

RUS,Speed Skating Men's 500 metres,23

RUS,Boxing Men's Welterweight,6

RUS,Nordic Combined Men's Team,19

RUS,Nordic Combined Men's Individual,16

RUS,Nordic Combined Men's Sprint,4

RUS,Diving Men's Plain High,1

RUS,Cross Country Skiing Women's 10 kilometres,16

RUS,Cross Country Skiing Women's 4 x 5 kilometres Relay,20

RUS,"Shooting Men's Running Target, Single Shot",5

RUS,"Shooting Men's Running Target, Single Shot, Team",4

RUS,"Shooting Men's Running Target, Double Shot",2

RUS,"Wrestling Men's Super-Heavyweight, Greco-Roman",6

RUS,Beach Volleyball Men's Beach Volleyball,10

RUS,Shooting Women's Trap,6

RUS,Rhythmic Gymnastics Women's Individual,12

RUS,"Speed Skating Women's 3,000 metres",15

RUS,"Speed Skating Women's 5,000 metres",8

RUS,Taekwondo Women's Heavyweight,2

RUS,Taekwondo Women's Welterweight,1

RUS,Sailing Women's Two Person Dinghy,6

RUS,Judo Men's Half-Middleweight,5

RUS,"Shooting Women's Air Pistol, 10 metres",12

RUS,"Shooting Women's Sporting Pistol, 25 metres",12

RUS,"Wrestling Men's Lightweight, Freestyle",5

RUS,Athletics Men's 200 metres,6

RUS,Swimming Men's 200 metres Breaststroke,12

RUS,Swimming Men's 400 metres Breaststroke,1

RUS,Figure Skating Mixed Pairs,36

RUS,Diving Women's Springboard,12

RUS,Sailing Women's Windsurfer,3

RUS,"Shooting Men's Free Rifle, Three Positions, 300 metres",11

RUS,"Shooting Men's Military Rifle, Three Positions, 300 metres",12

RUS,"Shooting Men's Military Rifle, Any Position, 600 metres",12

RUS,Snowboarding Men's Parallel Giant Slalom,7

RUS,Athletics Women's 100 metres,13

RUS,Athletics Women's 4 x 100 metres Relay,21

RUS,Sailing Mixed 10 metres,7

RUS,"Ski Jumping Men's Normal Hill, Individual",24

RUS,"Ski Jumping Men's Large Hill, Individual",24

RUS,Swimming Women's 200 metres Freestyle,7

RUS,Swimming Women's 400 metres Freestyle,7

RUS,Boxing Women's Lightweight,2

RUS,"Short Track Speed Skating Women's 1,500 metres",9

RUS,"Short Track Speed Skating Women's 1,000 metres",13

RUS,"Short Track Speed Skating Women's 3,000 metres Relay",8

RUS,Athletics Women's Pole Vault,12

RUS,Weightlifting Men's Heavyweight,6

RUS,Sailing Men's Two Person Dinghy,12

RUS,Swimming Men's 400 metres Individual Medley,6

RUS,Cycling Men's Individual Time Trial,9

RUS,Swimming Women's 100 metres Butterfly,10

RUS,Athletics Women's Hammer Throw,12

RUS,Boxing Men's Light-Heavyweight,6

RUS,Alpine Skiing Men's Downhill,14

RUS,Alpine Skiing Men's Super G,17

RUS,Alpine Skiing Men's Giant Slalom,17

RUS,Alpine Skiing Men's Combined,14

RUS,Athletics Women's Marathon,15

RUS,Athletics Women's Triple Jump,15

RUS,"Shooting Men's Running Target, 10 metres",6

RUS,Figure Skating Mixed Team,10

RUS,Athletics Women's Heptathlon,15

RUS,Judo Women's Extra-Lightweight,5

RUS,Rowing Women's Quadruple Sculls,16

RUS,Judo Women's Half-Middleweight,4

RUS,Snowboarding Men's Boardercross,4

RUS,Snowboarding Women's Parallel Giant Slalom,12

RUS,Archery Women's Individual,15

RUS,Archery Women's Team,12

RUS,Swimming Men's 10 kilometres Open Water,5

RUS,Athletics Women's 200 metres,14

RUS,"Wrestling Men's Heavyweight, Freestyle",6

RUS,Cycling Women's BMX,1

RUS,Athletics Men's Discus Throw,11

RUS,Cycling Men's Keirin,4

RUS,Cycling Men's Team Sprint,6

RUS,"Cycling Men's Team Pursuit, 4,000 metres",22

RUS,Athletics Men's 110 metres Hurdles,12

RUS,Short Track Speed Skating Women's 500 metres,11

RUS,Weightlifting Men's Featherweight,2

RUS,Cross Country Skiing Men's 10 kilometres,8

RUS,Cross Country Skiing Men's 10/15 kilometres Pursuit,8

RUS,Speed Skating Women's 500 metres,19

RUS,"Fencing Women's Foil, Individual",16

RUS,"Fencing Women's Foil, Team",14

RUS,Athletics Men's High Jump,12

RUS,Synchronized Swimming Women's Duet,10

RUS,Swimming Men's 50 metres Freestyle,12

RUS,Triathlon Men's Olympic Distance,10

RUS,Alpine Skiing Women's Combined,6

RUS,"Wrestling Women's Heavyweight, Freestyle",4

RUS,Rowing Men's Lightweight Coxless Fours,12

RUS,Swimming Women's 200 metres Butterfly,3

RUS,Athletics Men's Long Jump,13

RUS,Luge Men's Singles,17

RUS,Athletics Women's Discus Throw,15

RUS,Cross Country Skiing Women's Sprint,16

RUS,Cross Country Skiing Women's 15 kilometres,12

RUS,Cross Country Skiing Women's 15 km Skiathlon,12

RUS,Figure Skating Women's Singles,12

RUS,Athletics Men's 100 metres,7

RUS,Athletics Men's 4 x 100 metres Relay,8

RUS,"Wrestling Men's Light-Heavyweight, Greco-Roman",7

RUS,"Cycling Women's Individual Pursuit, 3,000 metres",4

RUS,"Athletics Men's 3,000 metres Steeplechase",8

RUS,Boxing Men's Middleweight,5

RUS,Cross Country Skiing Women's 30 kilometres,23

RUS,"Ski Jumping Men's Large Hill, Team",20

RUS,Cross Country Skiing Women's 5 kilometres,8

RUS,Cross Country Skiing Women's 5/10 kilometres Pursuit,8

RUS,Cross Country Skiing Women's 5/5 kilometres Pursuit,4

RUS,Gymnastics Women's Horse Vault,21

RUS,Biathlon Men's 10 kilometres Sprint,24

RUS,Biathlon Men's 20 kilometres,24

RUS,Biathlon Men's 4 x 7.5 kilometres Relay,24

RUS,Biathlon Men's 15 kilometres Mass Start,11

RUS,Biathlon Men's 12.5 kilometres Pursuit,14

RUS,"Cycling Men's Mountainbike, Cross-Country",5

RUS,Freestyle Skiing Women's Moguls,23

RUS,Sailing Men's One Person Dinghy,6

RUS,Sailing Women's One Person Dinghy,3

RUS,Trampolining Women's Individual,7

RUS,Swimming Men's 4 x 100 metres Freestyle Relay,31

RUS,Freestyle Skiing Women's Halfpipe,2

RUS,Judo Women's Heavyweight,6

RUS,Athletics Women's High Jump,15

RUS,Freestyle Skiing Women's Ski Cross,3

RUS,"Wrestling Men's Bantamweight, Freestyle",2

RUS,Athletics Men's Shot Put,13

RUS,"Wrestling Women's Flyweight, Freestyle",3

RUS,"Wrestling Men's Flyweight, Greco-Roman",1

RUS,"Shooting Men's Free Pistol, 50 metres",19

RUS,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",6

RUS,Equestrianism Mixed Hacks And Hunter Combined,1

RUS,Equestrianism Mixed Four-In-Hand Competition,2

RUS,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",6

RUS,Tennis Women's Singles,22

RUS,Tennis Women's Doubles,20

RUS,Taekwondo Men's Flyweight,2

RUS,Taekwondo Men's Featherweight,2

RUS,Judo Men's Middleweight,6

RUS,Cross Country Skiing Men's 10/10 kilometres Pursuit,4

RUS,Athletics Men's 400 metres Hurdles,8

RUS,"Shooting Women's Air Rifle, 10 metres",11

RUS,Snowboarding Men's Parallel Slalom,4

RUS,Speed Skating Men's Team Pursuit (8 laps),9

RUS,Cycling Men's Sprint,4

RUS,Rowing Men's Lightweight Double Sculls,2

RUS,Diving Men's Springboard,12

RUS,Diving Men's Synchronized Springboard,10

RUS,Diving Men's Platform,12

RUS,Diving Men's Synchronized Platform,10

RUS,"Shooting Men's Small-Bore Rifle, Any Position, 50 metres",2

RUS,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres",2

RUS,Table Tennis Women's Singles,13

RUS,Freestyle Skiing Men's Moguls,18

RUS,Cross Country Skiing Women's Team Sprint,6

RUS,Shooting Women's Double Trap,4

RUS,Boxing Men's Light-Welterweight,5

RUS,"Canoeing Men's Kayak Doubles, 200 metres",2

RUS,"Fencing Women's Sabre, Individual",9

RUS,"Fencing Women's Sabre, Team",8

RUS,"Wrestling Men's Middleweight, Greco-Roman",7

RUS,Judo Men's Half-Lightweight,6

RUS,Boxing Men's Featherweight,4

RUS,"Wrestling Men's Heavyweight, Greco-Roman",8

RUS,"Canoeing Men's Kayak Singles, Slalom",2

RUS,"Wrestling Men's Welterweight, Freestyle",6

RUS,Trampolining Men's Individual,9

RUS,Rowing Men's Quadruple Sculls,16

RUS,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",11

RUS,Weightlifting Men's Middleweight,3

RUS,Weightlifting Men's Heavyweight II,2

RUS,"Canoeing Men's Canadian Singles, 1,000 metres",5

RUS,Curling Women's Curling,18

RUS,Judo Women's Half-Heavyweight,4

RUS,Athletics Women's Long Jump,16

RUS,Judo Men's Extra-Lightweight,6

RUS,Table Tennis Women's Doubles,8

RUS,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,4

RUS,Judo Women's Lightweight,4

RUS,Judo Men's Half-Heavyweight,6

RUS,Taekwondo Men's Welterweight,1

RUS,"Wrestling Men's Middleweight, Freestyle",6

RUS,Cycling Women's Keirin,3

RUS,"Athletics Women's 5,000 metres",11

RUS,"Wrestling Women's Lightweight, Freestyle",4

RUS,"Shooting Men's Air Pistol, 10 metres",13

RUS,Diving Women's Synchronized Platform,4

RUS,Diving Women's Platform,10

RUS,"Canoeing Men's Kayak Doubles, 500 metres",6

RUS,"Canoeing Men's Kayak Doubles, 1,000 metres",8

RUS,Swimming Men's 100 metres Freestyle,12

RUS,Modern Pentathlon Women's Individual,10

RUS,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",12

RUS,Cycling Men's Madison,6

RUS,Athletics Women's 10 kilometres Walk,3

RUS,Athletics Women's 20 kilometres Walk,12

RUS,"Wrestling Men's Light-Flyweight, Greco-Roman",1

RUS,"Canoeing Women's Kayak Fours, 500 metres",12

RUS,Swimming Women's 10 kilometres Open Water,3

RUS,"Wrestling Men's Bantamweight, Greco-Roman",2

RUS,Cycling Men's Points Race,4

RUS,Athletics Men's Hammer Throw,13

RUS,Diving Women's Synchronized Springboard,6

RUS,Snowboarding Women's Parallel Slalom,4

RUS,"Athletics Men's 1,500 metres",14

RUS,Judo Men's Lightweight,6

RUS,Athletics Men's Javelin Throw,13

RUS,"Athletics Men's 10,000 metres",3

RUS,Sailing Women's Three Person Keelboat,9

RUS,Swimming Men's 100 metres Breaststroke,11

RUS,Swimming Men's 200 metres Freestyle,10

RUS,"Canoeing Men's Canadian Doubles, 500 metres",8

RUS,Rowing Women's Double Sculls,2

RUS,Badminton Women's Singles,7

RUS,"Cycling Men's Individual Pursuit, 4,000 metres",6

RUS,Swimming Women's 400 metres Individual Medley,6

RUS,"Wrestling Women's Middleweight, Freestyle",4

RUS,Weightlifting Women's Light-Heavyweight,3

RUS,"Shooting Men's Dueling Pistol, 30 metres",5

RUS,"Shooting Men's Dueling Pistol, 30 metres, Team",4

RUS,Weightlifting Women's Super-Heavyweight,1

RUS,"Wrestling Men's Light-Heavyweight, Freestyle",6

RUS,Weightlifting Women's Heavyweight,6

RUS,Judo Women's Half-Lightweight,4

RUS,"Canoeing Women's Kayak Singles, Slalom",3

RUS,Beach Volleyball Women's Beach Volleyball,8

RUS,Sailing Mixed Three Person Keelboat,6

RUS,Alpine Skiing Men's Slalom,10

RUS,Taekwondo Women's Flyweight,1

RUS,"Cycling Men's 1,000 metres Time Trial",1

RUS,Sailing Mixed One Person Dinghy,4

RUS,Sailing Mixed Multihull,6

RUS,"Wrestling Men's Middleweight A, Greco-Roman",3

RUS,"Nordic Combined Men's Normal Hill / 10 km, Individual",2

RUS,Swimming Women's 100 metres Backstroke,9

RUS,"Equestrianism Mixed Jumping, Individual",3

RUS,Swimming Men's 200 metres Butterfly,10

RUS,Figure Skating Men's Special Figures,1

RUS,"Shooting Men's Free Pistol, 50 metres, Team",4

RUS,Cycling Men's BMX,1

RUS,Swimming Women's 200 metres Backstroke,8

RUS,Swimming Men's 100 metres Butterfly,12

RUS,Rowing Men's Double Sculls,2

RUS,Freestyle Skiing Women's Aerials,10

RUS,Freestyle Skiing Men's Ski Cross,3

RUS,"Canoeing Men's Canadian Doubles, 1,000 metres",10

RUS,Freestyle Skiing Men's Slopestyle,1

RUS,Judo Men's Heavyweight,6

RUS,Rowing Men's Coxless Fours,8

RUS,Judo Women's Middleweight,3

RUS,Boxing Men's Bantamweight,6

RUS,"Canoeing Men's Canadian Singles, 200 metres",2

RUS,Rowing Men's Single Sculls,2

RUS,Table Tennis Men's Singles,8

RUS,Table Tennis Men's Team,6

RUS,"Canoeing Men's Canadian Singles, Slalom",4

RUS,"Canoeing Men's Canadian Doubles, Slalom",6

RUS,Rowing Women's Coxless Pairs,4

RUS,"Canoeing Women's Kayak Singles, 200 metres",1

RUS,"Canoeing Men's Kayak Singles, 200 metres",2

RUS,Boxing Men's Super-Heavyweight,5

RUS,Swimming Men's 200 metres Individual Medley,4

RUS,"Equestrianism Mixed Three-Day Event, Team",3

RUS,"Nordic Combined Men's Large Hill / 10 km, Individual",3

RUS,Table Tennis Men's Doubles,4

RUS,"Fencing Men's Sabre, Masters, Individual",2

RUS,Sailing Mixed Two Person Keelboat,2

RUS,Skeleton Women's Skeleton,7

RUS,Freestyle Skiing Women's Slopestyle,1

RUS,Boxing Men's Light-Middleweight,1

RUS,Taekwondo Women's Featherweight,1

RUS,Sailing Men's Windsurfer,6

RUS,"Athletics Men's Discus Throw, Both Hands",1

RUS,"Wrestling Men's Flyweight, Freestyle",1

RUS,Freestyle Skiing Men's Halfpipe,1

RUS,Art Competitions Mixed Painting,2

RUS,Badminton Mixed Doubles,6

RUS,"Athletics Men's 5,000 metres",1

RUS,"Canoeing Men's Canadian Singles, 500 metres",3

RUS,Swimming Women's 800 metres Freestyle,4

RUS,"Athletics Women's 3,000 metres Steeplechase",6

RUS,"Wrestling Men's Light-Flyweight, Freestyle",1

RUS,"Wrestling Men's Middleweight B, Greco-Roman",1

RUS,"Equestrianism Men's Jumping, Individual",6

RUS,"Equestrianism Men's Jumping, Team",4

RUS,Weightlifting Women's Middleweight,3

RUS,Snowboarding Women's Halfpipe,2

RUS,Cycling Women's Omnium,1

RUS,Weightlifting Men's Heavyweight I,2

RUS,Badminton Women's Doubles,6

RUS,"Canoeing Men's Kayak Singles, 500 metres",4

RUS,Cycling Women's Points Race,4

RUS,Boxing Women's Flyweight,1

RUS,Athletics Men's Standing High Jump,1

RUS,Weightlifting Women's Lightweight,1

RUS,Cycling Women's Team Sprint,2

RUS,Sailing Men's One Person Heavyweight Dinghy,1

RUS,Snowboarding Men's Slopestyle,1

RUS,Boxing Women's Middleweight,2

RUS,Art Competitions Mixed Sculpturing,2

RUS,Taekwondo Men's Heavyweight,1

RUS,Golf Women's Individual,1

RUS,Tennis Mixed Doubles,2

RUS,"Wrestling Women's Light-Heavyweight, Freestyle",1

RUS,"Equestrianism Men's Dressage, Individual",1

ARG,Swimming Men's 100 metres Butterfly,6

ARG,Swimming Men's 4 x 100 metres Medley Relay,12

ARG,Rowing Women's Coxless Pairs,4

ARG,Biathlon Men's 10 kilometres Sprint,15

ARG,Biathlon Men's 20 kilometres,14

ARG,Biathlon Men's 4 x 7.5 kilometres Relay,4

ARG,Rowing Men's Coxed Fours,20

ARG,Rowing Men's Coxed Eights,36

ARG,"Cycling Men's Team Pursuit, 4,000 metres",44

ARG,Cycling Men's 100 kilometres Team Time Trial,16

ARG,"Equestrianism Mixed Three-Day Event, Individual",17

ARG,"Equestrianism Mixed Three-Day Event, Team",16

ARG,Football Men's Football,127

ARG,Athletics Men's 100 metres,22

ARG,Athletics Men's 4 x 100 metres Relay,16

ARG,Volleyball Women's Volleyball,12

ARG,Basketball Men's Basketball,88

ARG,Bobsleigh Men's Two,6

ARG,Bobsleigh Men's Four,13

ARG,"Fencing Men's Sabre, Team",32

ARG,Boxing Men's Lightweight,14

ARG,Athletics Men's Marathon,25

ARG,Rowing Men's Coxless Pairs,20

ARG,Boxing Men's Middleweight,12

ARG,Swimming Women's 200 metres Butterfly,5

ARG,Alpine Skiing Men's Giant Slalom,44

ARG,Hockey Women's Hockey,110

ARG,Athletics Men's 400 metres,10

ARG,Judo Men's Half-Heavyweight,8

ARG,Sailing Mixed 8 metres,16

ARG,"Shooting Men's Free Pistol, 50 metres",12

ARG,"Equestrianism Mixed Jumping, Individual",36

ARG,"Equestrianism Mixed Jumping, Team",33

ARG,Judo Men's Extra-Lightweight,6

ARG,Athletics Men's 400 metres Hurdles,5

ARG,Athletics Men's 4 x 400 metres Relay,4

ARG,Cross Country Skiing Men's 10 kilometres,4

ARG,Cross Country Skiing Men's 30 kilometres,8

ARG,Cross Country Skiing Men's 10/15 kilometres Pursuit,4

ARG,Cross Country Skiing Women's 5 kilometres,1

ARG,Cross Country Skiing Women's 15 kilometres,1

ARG,Cross Country Skiing Women's 30 kilometres,1

ARG,Cross Country Skiing Women's 5/10 kilometres Pursuit,1

ARG,Cycling Men's Sprint,15

ARG,"Cycling Men's 1,000 metres Time Trial",10

ARG,Hockey Men's Hockey,176

ARG,Boxing Men's Bantamweight,15

ARG,Rowing Men's Coxless Fours,24

ARG,Judo Men's Lightweight,6

ARG,Sailing Men's One Person Dinghy,4

ARG,"Equestrianism Men's Jumping, Individual",9

ARG,"Equestrianism Men's Jumping, Team",9

ARG,Swimming Men's 4 x 200 metres Freestyle Relay,21

ARG,"Cycling Men's Individual Pursuit, 4,000 metres",8

ARG,Triathlon Women's Olympic Distance,1

ARG,"Shooting Men's Air Rifle, 10 metres",7

ARG,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",10

ARG,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",22

ARG,Rugby Sevens Men's Rugby Sevens,13

ARG,Swimming Women's 50 metres Freestyle,2

ARG,Swimming Women's 100 metres Freestyle,11

ARG,Swimming Women's 4 x 200 metres Freestyle Relay,4

ARG,Swimming Women's 100 metres Backstroke,9

ARG,Swimming Women's 4 x 100 metres Medley Relay,8

ARG,"Cycling Men's Road Race, Individual",35

ARG,"Athletics Men's 3,000 metres Steeplechase",4

ARG,Sailing Women's One Person Dinghy,7

ARG,Rowing Women's Double Sculls,2

ARG,"Shooting Men's Rapid-Fire Pistol, 25 metres",18

ARG,Boxing Men's Light-Welterweight,7

ARG,"Cycling Women's Mountainbike, Cross-Country",3

ARG,"Canoeing Women's Kayak Singles, 200 metres",1

ARG,"Canoeing Women's Kayak Fours, 500 metres",4

ARG,Gymnastics Men's Individual All-Around,13

ARG,Gymnastics Men's Team All-Around,7

ARG,Gymnastics Men's Floor Exercise,13

ARG,Gymnastics Men's Horse Vault,13

ARG,Gymnastics Men's Parallel Bars,13

ARG,Gymnastics Men's Horizontal Bar,14

ARG,Gymnastics Men's Rings,14

ARG,Gymnastics Men's Pommelled Horse,13

ARG,Alpine Skiing Men's Downhill,38

ARG,Alpine Skiing Men's Slalom,46

ARG,Judo Men's Heavyweight,7

ARG,Athletics Men's 800 metres,9

ARG,Polo Men's Polo,9

ARG,"Fencing Men's Foil, Team",41

ARG,Alpine Skiing Women's Giant Slalom,27

ARG,Alpine Skiing Women's Slalom,28

ARG,Swimming Women's 100 metres Breaststroke,7

ARG,Swimming Women's 200 metres Breaststroke,10

ARG,Swimming Women's 200 metres Individual Medley,6

ARG,Swimming Women's 400 metres Individual Medley,7

ARG,"Canoeing Women's Kayak Doubles, 500 metres",2

ARG,Swimming Men's 200 metres Individual Medley,2

ARG,Athletics Women's High Jump,3

ARG,"Shooting Men's Free Rifle, Three Positions, 300 metres",7

ARG,Boxing Men's Featherweight,17

ARG,Football Women's Football,15

ARG,Volleyball Men's Volleyball,82

ARG,Alpine Skiing Men's Super G,15

ARG,Alpine Skiing Men's Combined,14

ARG,Athletics Women's Discus Throw,8

ARG,Boxing Men's Light-Heavyweight,13

ARG,Athletics Women's Long Jump,7

ARG,"Fencing Men's epee, Individual",38

ARG,"Fencing Men's epee, Team",35

ARG,Athletics Men's Discus Throw,8

ARG,Beach Volleyball Men's Beach Volleyball,10

ARG,Cross Country Skiing Men's 4 x 10 kilometres Relay,4

ARG,"Wrestling Men's Lightweight, Greco-Roman",8

ARG,Swimming Men's 100 metres Backstroke,13

ARG,Swimming Men's 200 metres Backstroke,6

ARG,Boxing Men's Flyweight,14

ARG,Athletics Men's Pole Vault,3

ARG,Swimming Women's 400 metres Freestyle,8

ARG,Swimming Women's 800 metres Freestyle,6

ARG,Athletics Men's High Jump,3

ARG,Athletics Men's 200 metres,16

ARG,Modern Pentathlon Men's Individual,11

ARG,Modern Pentathlon Men's Team,6

ARG,Cycling Men's BMX,4

ARG,Sailing Mixed Three Person Keelboat,33

ARG,Archery Men's Individual,2

ARG,Swimming Women's 4 x 100 metres Freestyle Relay,8

ARG,Swimming Women's 200 metres Backstroke,4

ARG,Handball Women's Handball,15

ARG,Swimming Men's 200 metres Breaststroke,12

ARG,Sailing Mixed One Person Dinghy,13

ARG,"Cycling Men's Road Race, Team",12

ARG,Weightlifting Men's Light-Heavyweight,4

ARG,Tennis Men's Singles,31

ARG,"Wrestling Women's Flyweight, Freestyle",2

ARG,Athletics Men's Long Jump,2

ARG,Athletics Men's Decathlon,5

ARG,Rowing Women's Single Sculls,6

ARG,Swimming Women's 10 kilometres Open Water,2

ARG,Cross Country Skiing Men's 15 kilometres,15

ARG,Sailing Men's Two Person Dinghy,16

ARG,Sailing Mixed 6 metres,15

ARG,Alpine Skiing Women's Super G,16

ARG,Alpine Skiing Women's Combined,17

ARG,"Fencing Men's Foil, Individual",36

ARG,Water Polo Men's Water Polo,28

ARG,Boxing Men's Light-Flyweight,5

ARG,"Wrestling Men's Middleweight, Greco-Roman",7

ARG,"Wrestling Men's Middleweight, Freestyle",5

ARG,"Wrestling Men's Lightweight, Freestyle",8

ARG,Swimming Men's 10 kilometres Open Water,1

ARG,"Wrestling Men's Featherweight, Greco-Roman",4

ARG,"Wrestling Men's Bantamweight, Freestyle",4

ARG,Swimming Men's 400 metres Freestyle,17

ARG,Rowing Men's Quadruple Sculls,12

ARG,Weightlifting Men's Middleweight,8

ARG,Shooting Men's Trap,11

ARG,Swimming Men's 100 metres Breaststroke,8

ARG,Swimming Women's 200 metres Freestyle,5

ARG,"Wrestling Men's Bantamweight, Greco-Roman",4

ARG,"Wrestling Men's Super-Heavyweight, Greco-Roman",1

ARG,"Wrestling Men's Super-Heavyweight, Freestyle",1

ARG,"Athletics Men's 10,000 metres",7

ARG,Sailing Women's Skiff,2

ARG,Sailing Mixed Two Person Keelboat,24

ARG,Judo Women's Half-Heavyweight,1

ARG,"Wrestling Men's Heavyweight, Greco-Roman",4

ARG,Weightlifting Men's Heavyweight,6

ARG,"Fencing Men's Sabre, Individual",30

ARG,Athletics Men's Triple Jump,1

ARG,Athletics Women's 100 metres,7

ARG,Athletics Women's 4 x 100 metres Relay,8

ARG,Freestyle Skiing Men's Moguls,1

ARG,Alpine Skiing Women's Downhill,17

ARG,"Canoeing Men's Kayak Fours, 1,000 metres",12

ARG,Tennis Men's Doubles,26

ARG,Judo Men's Middleweight,10

ARG,"Equestrianism Men's Three-Day Event, Individual",13

ARG,"Equestrianism Men's Three-Day Event, Team",13

ARG,"Canoeing Men's Kayak Doubles, 500 metres",6

ARG,Handball Men's Handball,29

ARG,Athletics Men's 20 kilometres Walk,3

ARG,Swimming Men's 100 metres Freestyle,21

ARG,Athletics Women's 100 metres Hurdles,2

ARG,Rowing Men's Single Sculls,14

ARG,Rowing Men's Double Sculls,12

ARG,"Fencing Women's Foil, Individual",18

ARG,"Fencing Women's Foil, Team",7

ARG,Gymnastics Women's Individual All-Around,7

ARG,Gymnastics Women's Floor Exercise,7

ARG,Gymnastics Women's Horse Vault,5

