code,event,participants
CHN,"Wrestling Men's Welterweight, Freestyle",3

CHN,Cross Country Skiing Women's Sprint,9

CHN,Cross Country Skiing Women's 5/5 kilometres Pursuit,2

CHN,Biathlon Women's 7.5 kilometres Sprint,24

CHN,Biathlon Women's 12.5 kilometres Mass Start,4

CHN,Biathlon Women's 15 kilometres,23

CHN,Taekwondo Women's Featherweight,1

CHN,Shooting Men's Double Trap,11

CHN,"Canoeing Women's Kayak Doubles, 500 metres",12

CHN,"Wrestling Men's Featherweight, Greco-Roman",9

CHN,Boxing Men's Flyweight,4

CHN,Boxing Men's Light-Welterweight,2

CHN,"Wrestling Men's Flyweight, Greco-Roman",2

CHN,Sailing Mixed Skiff,2

CHN,Rowing Men's Double Sculls,2

CHN,Rowing Men's Quadruple Sculls,4

CHN,Athletics Women's Marathon,16

CHN,"Equestrianism Mixed Three-Day Event, Individual",2

CHN,Cycling Women's Team Pursuit,7

CHN,Cycling Women's Omnium,2

CHN,Athletics Women's Triple Jump,9

CHN,"Shooting Men's Running Target, 50 metres",4

CHN,Rowing Women's Lightweight Double Sculls,12

CHN,Athletics Women's 400 metres Hurdles,2

CHN,Figure Skating Mixed Team,6

CHN,Rowing Men's Lightweight Coxless Fours,12

CHN,"Canoeing Men's Kayak Fours, 1,000 metres",8

CHN,"Equestrianism Mixed Jumping, Individual",4

CHN,"Equestrianism Mixed Jumping, Team",4

CHN,Speed Skating Women's Team Pursuit (6 laps),3

CHN,"Cycling Men's Mountainbike, Cross-Country",4

CHN,Sailing Mixed Windsurfer,1

CHN,Sailing Men's Windsurfer,8

CHN,Swimming Men's 100 metres Butterfly,11

CHN,Cross Country Skiing Women's Team Sprint,6

CHN,Cycling Women's 500 metres Time Trial,3

CHN,Athletics Women's 20 kilometres Walk,14

CHN,Boxing Men's Heavyweight,4

CHN,"Wrestling Men's Light-Flyweight, Greco-Roman",3

CHN,Swimming Women's 200 metres Butterfly,15

CHN,Swimming Men's 400 metres Individual Medley,7

CHN,Judo Women's Lightweight,6

CHN,"Wrestling Women's Middleweight, Freestyle",4

CHN,"Canoeing Men's Canadian Singles, 1,000 metres",1

CHN,Biathlon Women's 4 x 7.5 kilometres Relay,12

CHN,Biathlon Women's 10 kilometres Pursuit,9

CHN,Biathlon Women's 4 x 6 kilometres Relay,12

CHN,Judo Women's Half-Heavyweight,6

CHN,Cross Country Skiing Men's 4 x 10 kilometres Relay,8

CHN,Cross Country Skiing Men's Team Sprint,4

CHN,Alpine Skiing Men's Giant Slalom,7

CHN,Alpine Skiing Men's Slalom,7

CHN,Golf Men's Individual,2

CHN,Sailing Men's Two Person Keelboat,2

CHN,Cross Country Skiing Women's 15 km Skiathlon,6

CHN,"Wrestling Women's Flyweight, Freestyle",4

CHN,"Canoeing Women's Kayak Singles, Slalom",4

CHN,Weightlifting Men's Lightweight,15

CHN,Boxing Women's Middleweight,2

CHN,Cycling Women's Points Race,3

CHN,"Fencing Women's epee, Individual",15

CHN,"Canoeing Men's Canadian Singles, 500 metres",2

CHN,"Canoeing Men's Canadian Singles, 200 metres",2

CHN,Judo Women's Half-Middleweight,7

CHN,Figure Skating Mixed Pairs,28

CHN,Cycling Men's Points Race,1

CHN,"Wrestling Men's Featherweight, Freestyle",2

CHN,Biathlon Men's 4 x 7.5 kilometres Relay,12

CHN,Sailing Women's Three Person Keelboat,3

CHN,Alpine Skiing Women's Super G,2

CHN,Weightlifting Women's Featherweight,3

CHN,Boxing Men's Featherweight,2

CHN,"Ski Jumping Men's Normal Hill, Individual",2

CHN,"Ski Jumping Men's Large Hill, Individual",2

CHN,"Ski Jumping Men's Large Hill, Team",4

CHN,"Wrestling Men's Welterweight, Greco-Roman",3

CHN,Swimming Men's 200 metres Freestyle,9

CHN,"Athletics Women's 3,000 metres Steeplechase",6

CHN,"Wrestling Men's Flyweight, Freestyle",2

CHN,Weightlifting Women's Light-Heavyweight,4

CHN,"Shooting Men's Free Pistol, 50 metres",18

CHN,Judo Men's Half-Heavyweight,3

CHN,"Wrestling Men's Super-Heavyweight, Greco-Roman",6

CHN,Biathlon Women's 3 x 7.5 kilometres Relay,3

CHN,"Canoeing Men's Kayak Singles, 500 metres",2

CHN,"Canoeing Men's Kayak Singles, 1,000 metres",3

CHN,Biathlon Men's 20 kilometres,13

CHN,"Speed Skating Women's 5,000 metres",4

CHN,"Athletics Women's 1,500 metres",3

CHN,"Equestrianism Mixed Dressage, Individual",1

CHN,Judo Men's Heavyweight,5

CHN,Tennis Men's Doubles,8

CHN,Taekwondo Men's Heavyweight,4

CHN,Curling Women's Curling,8

CHN,Boxing Men's Light-Flyweight,5

CHN,"Speed Skating Men's 10,000 metres",2

CHN,"Athletics Men's 5,000 metres",1

CHN,"Athletics Men's 10,000 metres",1

CHN,Table Tennis Men's Team,9

CHN,Cycling Women's BMX,1

CHN,"Wrestling Men's Light-Heavyweight, Greco-Roman",2

CHN,Weightlifting Men's Middle-Heavyweight,1

CHN,Freestyle Skiing Women's Moguls,1

CHN,"Shooting Men's Air Pistol, 10 metres",16

CHN,Cross Country Skiing Men's 10 kilometres,3

CHN,Boxing Women's Flyweight,2

CHN,Judo Men's Lightweight,6

CHN,Sailing Men's One Person Dinghy,2

CHN,Sailing Women's One Person Dinghy,5

CHN,"Wrestling Men's Bantamweight, Greco-Roman",4

CHN,Triathlon Women's Olympic Distance,8

CHN,Snowboarding Men's Halfpipe,4

CHN,"Wrestling Men's Middleweight, Freestyle",2

CHN,Rowing Men's Single Sculls,2

CHN,"Wrestling Women's Lightweight, Freestyle",2

CHN,Judo Women's Heavyweight,7

CHN,Rowing Men's Lightweight Double Sculls,8

CHN,Tennis Men's Singles,3

CHN,"Athletics Women's 5,000 metres",7

CHN,Cross Country Skiing Women's 20 kilometres,1

CHN,Athletics Women's 800 metres,2

CHN,"Wrestling Women's Heavyweight, Freestyle",4

CHN,"Cycling Women's Individual Pursuit, 3,000 metres",2

CHN,"Wrestling Men's Heavyweight, Freestyle",1

CHN,Shooting Mixed Skeet,8

CHN,Shooting Women's Skeet,6

CHN,Cycling Men's Sprint,5

CHN,Taekwondo Women's Flyweight,3

CHN,Cross Country Skiing Men's 10/15 kilometres Pursuit,2

CHN,Beach Volleyball Men's Beach Volleyball,4

CHN,Swimming Men's 10 kilometres Open Water,2

CHN,Judo Men's Open Class,1

CHN,Sailing Mixed Two Person Dinghy,2

CHN,Weightlifting Men's Heavyweight,1

CHN,"Art Competitions Mixed Painting, Unknown Event",1

CHN,Biathlon Men's 12.5 kilometres Pursuit,3

CHN,Boxing Men's Super-Heavyweight,2

CHN,Taekwondo Men's Flyweight,1

CHN,"Wrestling Women's Featherweight, Freestyle",1

CHN,"Wrestling Women's Light-Heavyweight, Freestyle",1

CHN,"Canoeing Women's Kayak Singles, 200 metres",2

CHN,"Canoeing Men's Kayak Singles, 200 metres",1

CHN,Taekwondo Men's Welterweight,1

DEN,Football Men's Football,136

DEN,Tug-Of-War Men's Tug-Of-War,3

DEN,"Equestrianism Men's Jumping, Individual",3

DEN,"Equestrianism Men's Jumping, Team",3

DEN,"Equestrianism Men's Three-Day Event, Individual",22

DEN,"Equestrianism Men's Three-Day Event, Team",19

DEN,"Cycling Men's Mountainbike, Cross-Country",9

DEN,Athletics Men's Hammer Throw,7

DEN,"Fencing Women's Foil, Individual",23

DEN,Boxing Men's Welterweight,16

DEN,"Gymnastics Men's Team All-Around, Free System",40

DEN,Alpine Skiing Men's Giant Slalom,4

DEN,Alpine Skiing Men's Downhill,2

DEN,Alpine Skiing Men's Super G,3

DEN,"Canoeing Men's Kayak Singles, 1,000 metres",12

DEN,"Fencing Men's Foil, Individual",30

DEN,"Fencing Men's Foil, Team",28

DEN,"Rowing Men's Coxed Fours, Inriggers",5

DEN,"Athletics Men's 10,000 metres",5

DEN,"Athletics Men's Cross-Country, Individual",12

DEN,"Athletics Men's Cross-Country, Team",12

DEN,"Wrestling Men's Middleweight, Greco-Roman",13

DEN,"Wrestling Men's Middleweight A, Greco-Roman",2

DEN,Athletics Men's Marathon,28

DEN,Sailing Mixed Multihull,14

DEN,Handball Women's Handball,59

DEN,Rowing Women's Coxless Pairs,2

DEN,"Shooting Men's Free Rifle, Three Positions, 300 metres",34

DEN,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",22

DEN,"Shooting Men's Military Rifle, Prone, 300 metres",5

DEN,"Shooting Men's Military Rifle, Prone, 300 metres, Team",5

DEN,Handball Men's Handball,100

DEN,Gymnastics Men's Individual All-Around,25

DEN,Sailing Mixed Two Person Keelboat,16

DEN,Athletics Men's Pole Vault,9

DEN,Rowing Men's Coxless Fours,36

DEN,Gymnastics Men's Team All-Around,57

DEN,Rowing Men's Coxed Pairs,18

DEN,"Shooting Men's Free Pistol, 50 metres",15

DEN,"Shooting Men's Free Pistol, 50 metres, Team",5

DEN,"Cycling Men's Road Race, Individual",90

DEN,Sailing Mixed Skiff,6

DEN,"Fencing Men's epee, Team",49

DEN,Athletics Men's 100 metres,11

DEN,Athletics Men's 4 x 100 metres Relay,8

DEN,Swimming Women's 100 metres Freestyle,28

DEN,Swimming Women's 400 metres Freestyle,20

DEN,Swimming Women's 4 x 100 metres Freestyle Relay,42

DEN,Weightlifting Men's Middleweight,5

DEN,Swimming Men's 4 x 100 metres Freestyle Relay,8

DEN,Swimming Men's 4 x 200 metres Freestyle Relay,24

DEN,Cycling Men's Sprint,17

DEN,"Cycling Men's Tandem Sprint, 2,000 metres",16

DEN,Archery Men's Individual,11

DEN,"Wrestling Men's Bantamweight, Greco-Roman",8

DEN,Swimming Women's 200 metres Breaststroke,21

DEN,Sailing Mixed One Person Dinghy,18

DEN,Sailing Mixed Three Person Keelboat,45

DEN,Rowing Men's Double Sculls,14

DEN,Boxing Men's Middleweight,10

DEN,Athletics Women's 800 metres,3

DEN,Art Competitions Mixed Painting,18

DEN,Rowing Women's Coxed Quadruple Sculls,10

DEN,"Canoeing Men's Kayak Fours, 1,000 metres",8

DEN,"Canoeing Men's Kayak Doubles, 1,000 metres",22

DEN,Athletics Men's Discus Throw,7

DEN,Diving Women's Platform,10

DEN,"Cycling Men's Road Race, Team",31

DEN,"Cycling Men's Team Pursuit, 4,000 metres",72

DEN,Rowing Men's Lightweight Coxless Fours,24

DEN,"Cycling Women's Mountainbike, Cross-Country",2

DEN,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",6

DEN,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",6

DEN,"Gymnastics Men's Team All-Around, Swedish System",53

DEN,"Shooting Women's Air Rifle, 10 metres",6

DEN,"Shooting Mixed Free Rifle, Three Positions, 300 metres",2

DEN,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",7

DEN,Boxing Men's Flyweight,7

DEN,Rowing Women's Lightweight Double Sculls,10

DEN,Swimming Men's 50 metres Freestyle,4

DEN,Swimming Men's 100 metres Freestyle,12

DEN,Swimming Men's 100 metres Butterfly,4

DEN,Boxing Men's Light-Heavyweight,8

DEN,Cycling Men's 20 kilometres,1

DEN,"Wrestling Men's Welterweight, Greco-Roman",4

DEN,Tennis Men's Singles,19

DEN,Tennis Men's Doubles,18

DEN,Taekwondo Men's Heavyweight,1

DEN,"Wrestling Men's Lightweight, Greco-Roman",18

DEN,"Fencing Men's epee, Individual",41

DEN,Modern Pentathlon Men's Individual,21

DEN,Badminton Men's Singles,15

DEN,Cycling Men's Individual Time Trial,8

DEN,Cycling Men's BMX,3

DEN,Cycling Men's 100 kilometres Team Time Trial,28

DEN,Athletics Women's Marathon,6

DEN,Rowing Men's Coxed Pairs (1 kilometres),3

DEN,Rowing Men's Coxed Fours,40

DEN,Swimming Men's 100 metres Backstroke,7

DEN,Athletics Men's 50 kilometres Walk,3

DEN,Gymnastics Men's Floor Exercise,19

DEN,Gymnastics Men's Horse Vault,19

DEN,Gymnastics Men's Parallel Bars,19

DEN,Gymnastics Men's Horizontal Bar,19

DEN,Gymnastics Men's Rings,19

DEN,Gymnastics Men's Pommelled Horse,19

DEN,Table Tennis Men's Singles,5

DEN,Athletics Women's 100 metres,4

DEN,Athletics Women's 4 x 100 metres Relay,4

DEN,Weightlifting Men's Light-Heavyweight,5

DEN,Rowing Men's Coxed Eights,45

DEN,"Fencing Men's Sabre, Individual",28

DEN,"Fencing Men's Sabre, Team",28

DEN,Sailing Mixed 8 metres,6

DEN,Sailing Mixed 5.5 metres,12

DEN,Boxing Men's Lightweight,14

DEN,"Fencing Men's Foil, Masters, Individual",1

DEN,Curling Women's Curling,22

DEN,"Art Competitions Mixed Painting, Paintings",2

DEN,Cross Country Skiing Men's 10 kilometres,5

DEN,Cross Country Skiing Men's 30 kilometres,8

DEN,Cross Country Skiing Men's 10/15 kilometres Pursuit,5

DEN,Cross Country Skiing Men's 50 kilometres,5

DEN,"Rowing Men's Coxed Fours, Outriggers",10

DEN,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",4

DEN,Hockey Men's Hockey,69

DEN,"Canoeing Men's Kayak Singles, 500 metres",1

DEN,"Canoeing Men's Kayak Singles, 200 metres",1

DEN,Swimming Women's 50 metres Freestyle,11

DEN,Swimming Women's 200 metres Freestyle,9

DEN,Swimming Women's 4 x 100 metres Medley Relay,20

DEN,Athletics Men's High Jump,6

DEN,Athletics Men's Long Jump,7

DEN,Badminton Men's Doubles,28

DEN,Boxing Men's Light-Middleweight,6

DEN,Sailing Women's Three Person Keelboat,6

DEN,Sailing Mixed Two Person Heavyweight Dinghy,17

DEN,Freestyle Skiing Women's Moguls,2

DEN,"Art Competitions Mixed Sculpturing, Unknown Event",24

DEN,Football Women's Football,15

DEN,Rowing Men's Coxless Pairs,20

DEN,"Canoeing Men's Canadian Doubles, 1,000 metres",12

DEN,"Wrestling Men's Flyweight, Greco-Roman",5

DEN,Rowing Men's Single Sculls,6

DEN,Swimming Men's 200 metres Backstroke,7

DEN,Art Competitions Mixed Music,1

DEN,Art Competitions Mixed Literature,4

DEN,Tennis Women's Singles,7

DEN,Tennis Women's Doubles,2

DEN,Tennis Mixed Doubles,4

DEN,"Art Competitions Mixed Music, Compositions For Orchestra",3

DEN,Alpine Skiing Men's Combined,3

DEN,Swimming Men's 200 metres Butterfly,4

DEN,Athletics Men's Triple Jump,4

DEN,Athletics Men's 800 metres,13

DEN,Sailing Women's Windsurfer,2

DEN,Cross Country Skiing Women's 5 kilometres,1

DEN,Cross Country Skiing Women's 10 kilometres,1

DEN,Cross Country Skiing Men's 15 kilometres,5

DEN,Athletics Women's Javelin Throw,6

DEN,Rowing Women's Quadruple Sculls,16

