code,games,participants
SUI,2008 Summer,2

SUI,2000 Summer,1

SUI,2010 Winter,1

SUI,1984 Summer,1

SUI,1994 Winter,1

SUI,1988 Summer,1

SUI,2004 Summer,1

SUI,1988 Winter,2

BRA,2000 Summer,26

BRA,1996 Summer,12

BRA,2012 Summer,5

BRA,2016 Summer,2

BRA,2008 Summer,4

FRG,1984 Summer,21

FRG,1972 Summer,16

FRG,1976 Winter,1

FRG,1968 Winter,2

FRG,1976 Summer,3

FRG,1968 Summer,4

FRG,1988 Summer,4

FRG,1988 Winter,1

FRG,1980 Winter,1

GDR,1980 Winter,3

GDR,1980 Summer,36

GDR,1968 Summer,7

GDR,1988 Summer,24

GDR,1976 Winter,6

GDR,1976 Summer,15

GDR,1988 Winter,5

GDR,1972 Winter,2

GDR,1972 Summer,7

GDR,1984 Winter,2

ISR,2016 Summer,1

SWE,1908 Summer,1

SWE,2002 Winter,23

SWE,2000 Summer,7

SWE,1992 Summer,4

SWE,1996 Summer,4

SWE,1920 Summer,5

SWE,1924 Summer,5

SWE,1984 Summer,3

SWE,1956 Winter,4

SWE,1912 Summer,1

SWE,2016 Summer,3

SWE,1928 Summer,3

SWE,1998 Winter,5

SWE,1972 Summer,3

SWE,2014 Winter,3

SWE,1936 Winter,1

SWE,1948 Summer,1

SWE,2006 Winter,3

SWE,2010 Winter,1

SWE,1956 Summer,1

SWE,1936 Summer,1

SWE,2004 Summer,2

ARM,2012 Summer,1

CIV,2016 Summer,1

KEN,2000 Summer,1

KEN,2012 Summer,1

KEN,2008 Summer,1

KEN,2016 Summer,1

UKR,2008 Summer,7

UKR,1996 Summer,5

UKR,2004 Summer,22

UKR,2012 Summer,9

UKR,2000 Summer,6

UKR,2006 Winter,2

UKR,2016 Summer,2

UKR,2014 Winter,1

UKR,1994 Winter,1

GBR,2014 Winter,5

GBR,2012 Summer,21

GBR,2000 Summer,5

GBR,1948 Winter,1

GBR,1964 Summer,4

GBR,1952 Summer,6

GBR,2016 Summer,15

GBR,1992 Summer,22

GBR,2008 Summer,12

GBR,1928 Summer,14

GBR,1924 Summer,4

GBR,2002 Winter,1

GBR,1932 Summer,9

GBR,1984 Summer,10

GBR,1956 Summer,2

GBR,1960 Summer,3

GBR,1912 Summer,3

GBR,1948 Summer,2

GBR,2004 Summer,7

GBR,1980 Summer,8

GBR,1908 Summer,4

GBR,1988 Summer,2

GBR,1920 Summer,2

GBR,1996 Summer,1

GBR,1924 Winter,1

GBR,1994 Winter,1

LAT,2014 Winter,1

POL,1968 Summer,13

POL,2016 Summer,8

POL,1960 Summer,5

POL,1964 Summer,11

POL,1980 Summer,3

POL,1988 Summer,1

POL,1992 Summer,2

POL,1996 Summer,4

POL,2012 Summer,5

POL,2004 Summer,5

POL,1956 Summer,6

POL,2006 Winter,1

POL,2010 Winter,4

POL,1936 Summer,1

POL,2000 Summer,2

POL,1960 Winter,1

POL,1972 Summer,1

POL,1932 Summer,1

POL,2008 Summer,1

CRC,2000 Summer,2

GEO,2008 Summer,1

SLO,2004 Summer,2

SLO,1994 Winter,2

SLO,2014 Winter,2

SLO,2010 Winter,1

SLO,2008 Summer,1

SLO,2016 Summer,1

CRO,2008 Summer,3

CRO,2016 Summer,1

CRO,2012 Summer,1

NZL,2016 Summer,2

NZL,1964 Summer,1

NZL,2012 Summer,4

NZL,1988 Summer,4

NZL,2000 Summer,1

NZL,1996 Summer,1

NZL,1992 Summer,1

NZL,1952 Summer,1

POR,2016 Summer,1

POR,1984 Summer,1

POR,2000 Summer,1

VEN,2004 Summer,1

VEN,2008 Summer,1

VEN,2016 Summer,1

COL,2012 Summer,2

COL,2004 Summer,2

COL,2008 Summer,1

COL,1992 Summer,1

COL,2016 Summer,1

TCH,1952 Summer,8

TCH,1984 Winter,2

TCH,1976 Summer,1

TCH,1980 Winter,1

TCH,1968 Winter,1

TCH,1972 Winter,1

TCH,1920 Summer,1

TCH,1972 Summer,1

CZE,2012 Summer,2

CZE,2016 Summer,5

CZE,1996 Summer,2

CZE,2004 Summer,2

CZE,1998 Winter,1

CZE,2010 Winter,2

JAM,2004 Summer,6

JAM,2012 Summer,6

JAM,1996 Summer,6

JAM,2016 Summer,2

JAM,2008 Summer,6

JAM,2000 Summer,2

JAM,1980 Summer,1

JAM,1984 Summer,2

JAM,1992 Summer,1

MGL,1992 Summer,1

MGL,2012 Summer,1

AUT,1912 Summer,4

AUT,1928 Winter,1

AUT,1972 Winter,1

AUT,2016 Summer,1

AUT,2010 Winter,3

AUT,2002 Winter,1

AUT,1972 Summer,1

AUT,1968 Winter,1

AUT,1948 Winter,3

AUT,1960 Winter,1

AUT,1964 Winter,2

AUT,1956 Winter,2

AUT,2014 Winter,2

AUT,1968 Summer,1

AUT,2008 Summer,2

AUT,1996 Summer,1

AUT,1998 Winter,3

AUT,2006 Winter,2

AUT,1936 Summer,1

AUT,1948 Summer,3

AUT,1992 Winter,2

AUT,1994 Winter,1

LTU,2000 Summer,3

LTU,2016 Summer,2

ISL,2000 Summer,1

KOR,2008 Summer,19

KOR,1976 Summer,12

KOR,1992 Summer,5

KOR,2004 Summer,5

KOR,2012 Summer,4

KOR,1998 Winter,2

KOR,2016 Summer,4

KOR,1996 Summer,3

KOR,2000 Summer,6

KOR,1984 Summer,1

KOR,1994 Winter,1

KOR,2010 Winter,2

KOR,2014 Winter,2

KOR,1988 Summer,1

THA,2004 Summer,3

THA,2012 Summer,1

THA,2000 Summer,1

THA,2016 Summer,1

SCG,1996 Summer,1

IOA,1992 Summer,1

MDA,2012 Summer,1

YUG,1980 Summer,12

YUG,1988 Summer,3

BAH,2004 Summer,1

SRB,2016 Summer,13

MOZ,1996 Summer,1

SVK,2012 Summer,1

PRK,1972 Summer,11

PRK,1992 Winter,1

PRK,2016 Summer,1

PRK,2000 Summer,1

PRK,1992 Summer,3

PRK,2008 Summer,2

PRK,2012 Summer,1

ZIM,2004 Summer,1

HKG,2012 Summer,1

TPE,2000 Summer,3

TPE,2004 Summer,3

TPE,2008 Summer,2

TPE,1968 Summer,1

TPE,2016 Summer,4

TPE,2012 Summer,1

BOH,1900 Summer,2

LIE,1984 Winter,1

LIE,1976 Winter,1

