code,games,participants
CMR,2000 Summer,18
CMR,1968 Summer,1
CMR,2004 Summer,1
CMR,2008 Summer,1
CMR,1984 Summer,1
TUR,2008 Summer,7
TUR,1948 Summer,12
TUR,1956 Summer,7
TUR,1964 Summer,6
TUR,1972 Summer,1
TUR,2016 Summer,8
TUR,2004 Summer,11
TUR,1968 Summer,2
TUR,1952 Summer,3
TUR,1960 Summer,9
TUR,1984 Summer,3
TUR,1992 Summer,6
TUR,2000 Summer,5
TUR,1996 Summer,6
TUR,2012 Summer,5
TUR,1936 Summer,2
TUR,1988 Summer,2
CHI,1956 Summer,4
CHI,2000 Summer,17
CHI,1952 Summer,4
CHI,1988 Summer,1
CHI,2004 Summer,4
CHI,2008 Summer,1
CHI,1928 Summer,1
MEX,1984 Summer,6
MEX,2012 Summer,24
MEX,1980 Summer,10
MEX,1976 Summer,2
MEX,2000 Summer,6
MEX,1936 Summer,16
MEX,1960 Summer,1
MEX,1932 Summer,2
MEX,1948 Summer,9
MEX,1952 Summer,1
MEX,1956 Summer,2
MEX,1968 Summer,9
MEX,1900 Summer,3
MEX,2008 Summer,4
MEX,2016 Summer,5
MEX,1964 Summer,1
MEX,1988 Summer,2
MEX,2004 Summer,4
MEX,1992 Summer,1
MEX,1996 Summer,1
MEX,1972 Summer,1
URS,1972 Summer,214
URS,1964 Summer,174
URS,1980 Summer,442
URS,1968 Winter,37
URS,1956 Summer,169
URS,1960 Summer,169
URS,1976 Summer,286
URS,1976 Winter,56
URS,1960 Winter,42
URS,1964 Winter,47
URS,1984 Winter,56
URS,1980 Winter,54
URS,1988 Summer,300
URS,1952 Summer,117
URS,1968 Summer,192
URS,1956 Winter,37
URS,1988 Winter,66
URS,1972 Winter,45
HUN,1992 Summer,45
HUN,1936 Summer,41
HUN,1988 Summer,44
HUN,1996 Summer,43
HUN,1964 Summer,56
HUN,1960 Summer,66
HUN,1976 Summer,55
HUN,1952 Summer,102
HUN,1912 Summer,30
HUN,1980 Summer,61
HUN,1924 Summer,22
HUN,1968 Summer,81
HUN,1972 Summer,81
HUN,1948 Summer,62
HUN,2000 Summer,53
HUN,1956 Summer,64
HUN,1928 Summer,21
HUN,1932 Summer,33
HUN,1900 Summer,5
HUN,2004 Summer,40
HUN,2008 Summer,27
HUN,2012 Summer,26
HUN,2016 Summer,22
HUN,1908 Summer,20
HUN,1896 Summer,6
HUN,1906 Summer,13
HUN,1948 Winter,2
HUN,1904 Summer,4
HUN,1952 Winter,2
HUN,1956 Winter,2
HUN,1980 Winter,2
HUN,1932 Winter,2
HUN,1936 Winter,2
NGR,2008 Summer,23
NGR,1992 Summer,11
NGR,1996 Summer,24
NGR,2016 Summer,18
NGR,2004 Summer,8
NGR,2000 Summer,8
NGR,1984 Summer,5
NGR,1972 Summer,1
NGR,1964 Summer,1
ALG,2000 Summer,5
ALG,1996 Summer,3
ALG,2008 Summer,2
ALG,1992 Summer,2
ALG,2012 Summer,1
ALG,2016 Summer,2
ALG,1984 Summer,2
KUW,2000 Summer,1
KUW,2012 Summer,1
BRN,2012 Summer,1
BRN,2016 Summer,2
PAK,1960 Summer,14
PAK,1964 Summer,16
PAK,1992 Summer,16
PAK,1968 Summer,13
PAK,1984 Summer,16
PAK,1972 Summer,15
PAK,1956 Summer,14
PAK,1976 Summer,16
PAK,1988 Summer,1
IRQ,1960 Summer,1
UAR,1960 Summer,2
LIB,1980 Summer,1
LIB,1952 Summer,2
LIB,1972 Summer,1
QAT,2012 Summer,2
QAT,2016 Summer,1
QAT,2000 Summer,1
QAT,1992 Summer,1
MAS,2016 Summer,8
MAS,1996 Summer,3
MAS,2008 Summer,1
MAS,2012 Summer,2
MAS,1992 Summer,2
GER,2002 Winter,61
GER,2006 Winter,54
GER,1936 Summer,224
GER,2012 Summer,94
GER,2010 Winter,54
GER,1960 Summer,89
GER,1964 Summer,116
GER,2004 Summer,149
GER,2016 Summer,159
GER,2000 Summer,118
GER,1932 Summer,43
GER,2008 Summer,99
GER,1992 Summer,198
GER,1928 Summer,77
GER,1900 Summer,45
GER,1998 Winter,44
GER,2014 Winter,36
GER,1956 Summer,52
GER,1996 Summer,124
GER,1912 Summer,53
GER,1906 Summer,30
GER,1936 Winter,7
GER,1994 Winter,40
GER,1932 Winter,14
GER,1964 Winter,10
GER,1952 Summer,40
GER,1960 Winter,9
GER,1992 Winter,38
GER,1908 Summer,21
GER,1896 Summer,32
GER,1904 Summer,16
GER,1952 Winter,12
GER,1956 Winter,2
GER,1928 Winter,5
CAN,1984 Summer,87
CAN,1952 Winter,17
CAN,2012 Summer,55
CAN,2006 Winter,69
CAN,2010 Winter,90
CAN,2014 Winter,86
CAN,1936 Summer,22
CAN,2016 Summer,69
CAN,1996 Summer,50
CAN,2000 Summer,31
CAN,1904 Summer,48
CAN,1976 Summer,23
CAN,1964 Winter,7
CAN,1960 Summer,9
CAN,1908 Summer,52
CAN,2002 Winter,74
CAN,1992 Winter,36
CAN,2008 Summer,35
CAN,1956 Summer,19
CAN,1994 Winter,37
CAN,1960 Winter,21
CAN,1998 Winter,49
CAN,1928 Summer,33
CAN,2004 Summer,17
CAN,1932 Summer,39
CAN,1992 Summer,44
CAN,1924 Summer,20
CAN,1948 Summer,7
CAN,1920 Summer,16
CAN,1980 Winter,2
CAN,1984 Winter,4
CAN,1968 Winter,20
CAN,1956 Winter,20
CAN,1912 Summer,8
CAN,1924 Winter,9
CAN,1988 Summer,23
CAN,1972 Summer,11
CAN,1932 Winter,20
CAN,1968 Summer,10
CAN,1976 Winter,3
CAN,1964 Summer,5
CAN,1936 Winter,13
CAN,1928 Winter,12
CAN,1948 Winter,15
CAN,1952 Summer,4
CAN,1906 Summer,2
CAN,1972 Winter,1
CAN,1988 Winter,6
CAN,1900 Summer,2
IRL,2008 Summer,3
IRL,2012 Summer,5
IRL,1956 Summer,5
IRL,1992 Summer,2
IRL,1924 Summer,2
IRL,1948 Summer,1
IRL,1964 Summer,1
IRL,1952 Summer,1
IRL,2016 Summer,3
IRL,1928 Summer,1
IRL,1932 Summer,2
IRL,2000 Summer,1
IRL,1980 Summer,3
IRL,1996 Summer,4
IRL,1984 Summer,1
AUS,2008 Summer,149
AUS,2016 Summer,82
AUS,1956 Summer,67
AUS,1992 Summer,57
AUS,1996 Summer,132
AUS,2000 Summer,183
AUS,2004 Summer,157
AUS,1964 Summer,44
AUS,1952 Summer,20
AUS,1972 Summer,20
AUS,1984 Summer,52
AUS,1960 Summer,46
AUS,1988 Summer,35
AUS,1948 Summer,16
AUS,2012 Summer,114
AUS,1906 Summer,3
AUS,1920 Summer,7
AUS,1924 Summer,10
AUS,2006 Winter,2
AUS,2010 Winter,3
AUS,1976 Summer,23
AUS,1968 Summer,51
AUS,1994 Winter,4
AUS,2002 Winter,2
AUS,1980 Summer,13
AUS,2014 Winter,3
AUS,1928 Summer,4
AUS,1932 Summer,5
AUS,1924 Winter,1
AUS,1896 Summer,3
AUS,1904 Summer,4
AUS,1900 Summer,6
AUS,1936 Summer,1
AUS,1998 Winter,1
RSA,1956 Summer,7
RSA,2016 Summer,23
RSA,1948 Summer,6
RSA,1924 Summer,3
RSA,1928 Summer,6
RSA,1960 Summer,3
RSA,1920 Summer,21
RSA,1952 Summer,14
RSA,2012 Summer,9
RSA,1932 Summer,5
RSA,1936 Summer,1
RSA,2004 Summer,10
RSA,1992 Summer,3
RSA,1912 Summer,7
RSA,1908 Summer,2
RSA,2000 Summer,5
RSA,1996 Summer,5
RSA,2008 Summer,1
ERI,2004 Summer,1
TAN,1980 Summer,2
JOR,2016 Summer,1
TUN,2016 Summer,3
TUN,1964 Summer,2
TUN,1968 Summer,2
TUN,1972 Summer,1
TUN,2012 Summer,3
TUN,2008 Summer,1
