code,games,participants
AUS,1988 Summer,1

AUS,1932 Summer,1

RSA,1992 Summer,1

RSA,1952 Summer,1

RSA,2012 Summer,1

RSA,2000 Summer,1

RSA,2004 Summer,1

RSA,2016 Summer,1

TUN,2012 Summer,1

BEL,2008 Summer,4

BEL,1992 Summer,1

BEL,1996 Summer,1

KAZ,2010 Winter,1

KAZ,2016 Summer,2

KAZ,2008 Summer,2

IND,2016 Summer,1

ETH,2004 Summer,1

ETH,2016 Summer,1

ETH,2000 Summer,1

INA,2016 Summer,1

INA,1988 Summer,3

INA,1996 Summer,1

INA,2008 Summer,1

INA,2000 Summer,2

INA,2004 Summer,1

PHI,2016 Summer,1

SGP,2008 Summer,3

EUN,1992 Summer,23

EUN,1992 Winter,5

JPN,2012 Summer,26

JPN,2000 Summer,29

JPN,1992 Summer,4

JPN,2010 Winter,4

JPN,2004 Summer,13

JPN,1968 Summer,9

JPN,1972 Summer,12

JPN,1988 Summer,1

JPN,1928 Summer,1

JPN,2008 Summer,2

JPN,1992 Winter,1

JPN,1996 Summer,4

JPN,1932 Summer,1

JPN,2014 Winter,1

JPN,2016 Summer,1

SUI,2016 Summer,3

SUI,1996 Summer,4

SUI,2006 Winter,5

SUI,2002 Winter,5

SUI,2000 Summer,6

SUI,1956 Winter,1

SUI,1984 Summer,2

SUI,1900 Summer,1

SUI,1988 Winter,3

SUI,2014 Winter,1

SUI,1964 Summer,1

SUI,1948 Winter,1

SUI,1976 Summer,2

SUI,1994 Winter,1

SUI,1988 Summer,1

SUI,1984 Winter,1

BRA,1996 Summer,14

BRA,2004 Summer,19

BRA,2008 Summer,18

BRA,2016 Summer,2

BRA,2000 Summer,2

FRG,1984 Summer,23

FRG,1988 Summer,3

FRG,1976 Summer,6

FRG,1968 Summer,2

FRG,1980 Winter,2

FRG,1972 Summer,5

FRG,1988 Winter,1

FRG,1976 Winter,1

FRG,1968 Winter,1

GDR,1972 Summer,30

GDR,1988 Summer,19

GDR,1976 Summer,33

GDR,1980 Winter,2

GDR,1980 Summer,33

GDR,1976 Winter,3

GDR,1984 Winter,5

GDR,1988 Winter,6

GDR,1968 Summer,9

GDR,1972 Winter,1

GDR,1968 Winter,1

ISR,1992 Summer,1

SWE,2012 Summer,2

SWE,2000 Summer,2

SWE,1984 Summer,4

SWE,1992 Summer,2

SWE,2006 Winter,21

SWE,2016 Summer,20

SWE,2004 Summer,1

SWE,1988 Summer,2

SWE,1956 Summer,6

SWE,2014 Winter,6

SWE,1960 Summer,1

SWE,1980 Summer,6

SWE,1912 Summer,2

SWE,1964 Winter,3

SWE,1968 Winter,3

SWE,2010 Winter,3

SWE,2008 Summer,1

SWE,1972 Summer,1

SWE,1976 Summer,1

SWE,1994 Winter,1

SWE,1920 Summer,1

SWE,2002 Winter,1

SWE,1998 Winter,1

SRI,2000 Summer,1

KEN,2012 Summer,3

KEN,2016 Summer,3

KEN,2008 Summer,3

KEN,1996 Summer,1

KEN,2004 Summer,2

UKR,2000 Summer,5

UKR,1996 Summer,5

UKR,2004 Summer,4

UKR,2016 Summer,4

UKR,2008 Summer,2

UKR,2012 Summer,2

UKR,1998 Winter,1

GBR,1912 Summer,1

GBR,1956 Summer,5

GBR,2012 Summer,12

GBR,1920 Summer,9

GBR,1924 Summer,9

GBR,2000 Summer,7

GBR,2016 Summer,20

GBR,1964 Summer,2

GBR,2004 Summer,10

GBR,1968 Summer,3

GBR,1908 Summer,4

GBR,1936 Summer,5

GBR,1984 Summer,6

GBR,1936 Winter,1

GBR,1928 Summer,7

GBR,1980 Summer,5

GBR,1992 Summer,1

GBR,2008 Summer,8

GBR,1948 Summer,4

GBR,1932 Summer,1

GBR,1988 Summer,4

GBR,1960 Summer,4

GBR,1952 Summer,1

GBR,1972 Summer,1

GBR,2006 Winter,1

LAT,2004 Summer,1

POL,2012 Summer,2

POL,1964 Summer,3

POL,2014 Winter,4

POL,1980 Summer,3

POL,2000 Summer,5

POL,2004 Summer,2

POL,1960 Summer,2

POL,1932 Summer,1

POL,2010 Winter,1

POL,2008 Summer,3

POL,1960 Winter,1

POL,1996 Summer,1

POL,1972 Summer,1

POL,1936 Summer,2

POL,2016 Summer,2

CRC,1988 Summer,1

SLO,1996 Summer,1

SLO,2008 Summer,1

SLO,2010 Winter,2

CRO,2002 Winter,1

CRO,2006 Winter,1

CRO,2008 Summer,1

NZL,2016 Summer,22

NZL,1996 Summer,2

NZL,1992 Winter,1

NZL,1992 Summer,3

NZL,2012 Summer,1

POR,2008 Summer,1

VEN,2016 Summer,1

COL,2016 Summer,1

COL,2012 Summer,1

PER,1988 Summer,12

TCH,1936 Summer,8

TCH,1980 Summer,17

TCH,1956 Summer,1

TCH,1960 Summer,7

TCH,1964 Summer,6

TCH,1968 Summer,7

TCH,1972 Summer,1

TCH,1984 Winter,4

TCH,1988 Summer,2

CZE,2012 Summer,2

CZE,2004 Summer,2

CZE,2008 Summer,1

CZE,1998 Winter,1

CZE,2002 Winter,2

CZE,2006 Winter,1

CZE,1996 Summer,2

CZE,2014 Winter,4

JAM,2000 Summer,14

JAM,2012 Summer,7

JAM,2016 Summer,12

JAM,1992 Summer,2

JAM,1988 Summer,1

JAM,1996 Summer,2

JAM,2008 Summer,3

MGL,2016 Summer,1

MGL,2008 Summer,1

AUT,1928 Winter,2

AUT,1932 Winter,1

AUT,1998 Winter,2

AUT,1994 Winter,2

AUT,2014 Winter,4

AUT,1956 Winter,2

AUT,2002 Winter,1

AUT,2000 Summer,1

AUT,2004 Summer,1

AUT,1964 Winter,2

AUT,2006 Winter,2

AUT,1948 Winter,2

AUT,1952 Summer,1

AUT,1972 Winter,2

AUT,1992 Winter,3

AUT,1936 Winter,1

AUT,2010 Winter,2

AUT,1952 Winter,1

AUT,1968 Summer,1

AUT,1976 Winter,1

LTU,2004 Summer,1

LTU,2008 Summer,1

KOR,1992 Summer,2

KOR,1984 Summer,24

KOR,1988 Summer,17

KOR,1996 Summer,37

KOR,2002 Winter,2

KOR,2006 Winter,1

KOR,2012 Summer,4

KOR,2004 Summer,20

KOR,2000 Summer,2

KOR,2016 Summer,1

KOR,2014 Winter,2

KOR,2010 Winter,1

KOR,2008 Summer,5

THA,2008 Summer,1

THA,2012 Summer,1

THA,2016 Summer,1

ANZ,1912 Summer,1

SCG,2000 Summer,1

SCG,2004 Summer,1

IOA,1992 Summer,1

YUG,1980 Summer,14

YUG,1988 Summer,12

YUG,1968 Summer,1

YUG,1988 Winter,1

BAH,1996 Summer,5

SRB,2016 Summer,13

SRB,2012 Summer,1

SVK,2010 Winter,1

SVK,2000 Summer,2

SVK,2008 Summer,1

SVK,2012 Summer,1

PRK,2008 Summer,1

PRK,2016 Summer,2

PRK,1964 Winter,1

PRK,2004 Summer,3

PRK,2000 Summer,1

ZIM,2004 Summer,1

ZIM,2008 Summer,3

