code,games,participants
ITA,1924 Summer,51

ITA,1960 Summer,82

ITA,1964 Summer,50

ITA,2006 Winter,15

ITA,1956 Summer,47

ITA,2002 Winter,12

ITA,1952 Summer,53

ITA,1972 Summer,20

ITA,1968 Winter,7

ITA,1964 Winter,10

ITA,1906 Summer,56

ITA,1908 Summer,8

ITA,1948 Winter,1

ITA,1980 Summer,34

ITA,1972 Winter,9

ITA,1980 Winter,3

ITA,1900 Summer,5

ITA,1952 Winter,1

ITA,1988 Winter,8

ITA,1976 Winter,3

ITA,1984 Winter,1

ITA,2014 Winter,5

ITA,2010 Winter,4

AZE,1996 Summer,1

AZE,2000 Summer,2

AZE,2004 Summer,3

AZE,2008 Summer,6

AZE,2012 Summer,8

AZE,2016 Summer,14

SUD,2008 Summer,1

RUS,2012 Summer,68

RUS,2016 Summer,33

RUS,2004 Summer,98

RUS,2002 Winter,27

RUS,2008 Summer,60

RUS,1996 Summer,84

RUS,2000 Summer,98

RUS,2006 Winter,18

RUS,2014 Winter,45

RUS,1912 Summer,14

RUS,1998 Winter,32

RUS,1994 Winter,16

RUS,2010 Winter,16

RUS,1908 Summer,3

ARG,2008 Summer,34

ARG,1996 Summer,20

ARG,1936 Summer,10

ARG,1928 Summer,26

ARG,2004 Summer,30

ARG,1932 Summer,4

ARG,2016 Summer,20

ARG,1924 Summer,10

ARG,1948 Summer,10

ARG,2012 Summer,4

ARG,1960 Summer,4

ARG,1952 Summer,6

ARG,1988 Summer,12

ARG,2000 Summer,3

ARG,1968 Summer,2

ARG,1972 Summer,1

ARG,1992 Summer,2

ARG,1964 Summer,1

ARG,1956 Summer,2

CUB,2008 Summer,38

CUB,1980 Summer,19

CUB,1992 Summer,52

CUB,1996 Summer,39

CUB,2000 Summer,51

CUB,1976 Summer,24

CUB,1972 Summer,17

CUB,2012 Summer,11

CUB,2016 Summer,9

CUB,2004 Summer,40

CUB,1948 Summer,2

CUB,1904 Summer,5

CUB,1964 Summer,1

CUB,1968 Summer,6

CUB,1900 Summer,2

BLR,2008 Summer,15

BLR,2004 Summer,8

BLR,2000 Summer,9

BLR,1998 Winter,2

BLR,1996 Summer,11

BLR,2012 Summer,6

BLR,2006 Winter,1

BLR,2016 Summer,5

BLR,2002 Winter,1

BLR,2010 Winter,2

BLR,2014 Winter,1

BLR,1994 Winter,1

GRE,1906 Summer,97

GRE,1896 Summer,48

GRE,2004 Summer,10

GRE,1980 Summer,5

GRE,1992 Summer,1

GRE,1996 Summer,7

GRE,2000 Summer,8

GRE,1924 Summer,1

GRE,1908 Summer,4

GRE,1960 Summer,3

GRE,1968 Summer,1

GRE,1972 Summer,2

GRE,1904 Summer,2

GRE,2016 Summer,4

GRE,2012 Summer,1

GRE,1984 Summer,2

GRE,1988 Summer,1

GRE,1920 Summer,5

GRE,2008 Summer,3

GRE,1956 Summer,1

GRE,1912 Summer,2

CMR,2000 Summer,18

CMR,1968 Summer,1

CMR,1984 Summer,1

TUR,1948 Summer,12

TUR,1956 Summer,7

TUR,1964 Summer,6

TUR,1972 Summer,1

TUR,2016 Summer,7

TUR,2004 Summer,10

TUR,1968 Summer,2

TUR,1952 Summer,3

TUR,1960 Summer,9

TUR,2008 Summer,4

TUR,1984 Summer,3

TUR,1992 Summer,5

TUR,2000 Summer,4

TUR,1996 Summer,6

TUR,1936 Summer,2

TUR,1988 Summer,2

TUR,2012 Summer,2

CHI,2000 Summer,17

CHI,1956 Summer,3

CHI,1952 Summer,4

CHI,1988 Summer,1

CHI,2004 Summer,4

CHI,2008 Summer,1

CHI,1928 Summer,1

MEX,1984 Summer,6

MEX,2012 Summer,18

MEX,1980 Summer,10

MEX,1976 Summer,2

MEX,2000 Summer,5

MEX,1936 Summer,16

MEX,1960 Summer,1

MEX,1932 Summer,2

MEX,1948 Summer,9

MEX,1952 Summer,1

MEX,1956 Summer,2

MEX,1968 Summer,7

MEX,1900 Summer,3

MEX,1964 Summer,1

MEX,1988 Summer,2

MEX,2016 Summer,3

MEX,1992 Summer,1

MEX,2008 Summer,1

MEX,2004 Summer,1

MEX,1996 Summer,1

MEX,1972 Summer,1

URS,1972 Summer,169

URS,1980 Summer,303

URS,1956 Summer,140

URS,1960 Summer,130

URS,1964 Summer,125

URS,1976 Summer,182

URS,1976 Winter,40

URS,1960 Winter,30

URS,1964 Winter,29

URS,1968 Winter,28

URS,1984 Winter,46

URS,1980 Winter,41

URS,1988 Summer,212

URS,1952 Summer,80

URS,1968 Summer,144

URS,1956 Winter,31

URS,1972 Winter,35

URS,1988 Winter,51

HUN,1992 Summer,32

HUN,1936 Summer,31

HUN,1988 Summer,33

HUN,1996 Summer,22

HUN,1960 Summer,59

HUN,1964 Summer,47

HUN,1952 Summer,68

HUN,1912 Summer,30

HUN,1976 Summer,31

HUN,1980 Summer,53

HUN,1924 Summer,22

HUN,1968 Summer,70

HUN,1972 Summer,66

HUN,2000 Summer,28

HUN,1956 Summer,46

HUN,1928 Summer,21

HUN,1932 Summer,32

HUN,1948 Summer,50

HUN,1900 Summer,5

HUN,2004 Summer,29

HUN,2008 Summer,20

HUN,2012 Summer,16

HUN,2016 Summer,8

HUN,1908 Summer,20

HUN,1896 Summer,6

HUN,1906 Summer,13

HUN,1948 Winter,1

HUN,1904 Summer,4

HUN,1952 Winter,1

