code,games,participants
SUI,1976 Summer,1

BRA,2012 Summer,13

BRA,2008 Summer,13

BRA,2016 Summer,3

BRA,1996 Summer,2

FRG,1988 Summer,12

FRG,1984 Summer,7

FRG,1968 Summer,4

FRG,1972 Summer,8

FRG,1972 Winter,1

FRG,1976 Summer,2

FRG,1988 Winter,1

FRG,1976 Winter,2

GDR,1976 Summer,53

GDR,1980 Winter,7

GDR,1980 Summer,54

GDR,1972 Summer,12

GDR,1988 Summer,50

GDR,1984 Winter,6

GDR,1968 Summer,1

GDR,1972 Winter,1

GDR,1988 Winter,3

GDR,1976 Winter,1

SWE,1984 Summer,3

SWE,1996 Summer,3

SWE,2006 Winter,8

SWE,1952 Summer,8

SWE,1960 Winter,3

SWE,1968 Winter,2

SWE,2014 Winter,4

SWE,2000 Summer,1

SWE,1912 Summer,1

SWE,1920 Summer,1

SWE,2010 Winter,5

SWE,2004 Summer,1

SWE,1972 Summer,1

SWE,2016 Summer,2

SWE,1992 Winter,1

SWE,1994 Winter,1

KEN,2016 Summer,3

KEN,2008 Summer,2

UKR,1994 Winter,1

UKR,2012 Summer,5

UKR,2008 Summer,6

UKR,2014 Winter,4

UKR,2000 Summer,2

UKR,2004 Summer,5

UKR,1996 Summer,4

GBR,2012 Summer,17

GBR,2016 Summer,28

GBR,2008 Summer,9

GBR,1952 Winter,1

GBR,2004 Summer,5

GBR,1964 Summer,2

GBR,1968 Summer,1

GBR,2000 Summer,3

GBR,1900 Summer,2

GBR,1908 Summer,5

GBR,1912 Summer,6

GBR,1972 Summer,3

GBR,1956 Summer,2

GBR,1992 Summer,1

GBR,2002 Winter,5

GBR,1960 Summer,1

GBR,1920 Summer,3

GBR,1924 Summer,1

GBR,1984 Summer,1

GBR,1984 Winter,1

GBR,2010 Winter,1

GBR,2014 Winter,1

POL,1964 Summer,4

POL,2016 Summer,3

POL,2004 Summer,1

POL,1928 Summer,1

POL,2010 Winter,1

POL,2014 Winter,1

POL,1956 Summer,1

POL,1996 Summer,1

POL,2000 Summer,2

POL,1968 Summer,1

POL,1976 Summer,1

POL,1932 Summer,1

CRC,1996 Summer,1

SLO,2014 Winter,2

SLO,2016 Summer,1

SLO,2012 Summer,1

CRO,2016 Summer,2

CRO,2002 Winter,3

CRO,2006 Winter,1

CRO,2012 Summer,1

NZL,2008 Summer,3

NZL,2012 Summer,4

NZL,2016 Summer,1

NZL,2004 Summer,3

NZL,1992 Summer,1

NZL,1952 Summer,1

POR,1988 Summer,1

POR,1996 Summer,1

COL,2016 Summer,2

COL,2012 Summer,1

COL,2000 Summer,1

PUR,2016 Summer,1

TCH,1960 Summer,1

TCH,1964 Summer,3

TCH,1968 Summer,6

TCH,1956 Summer,1

TCH,1948 Summer,8

TCH,1952 Summer,1

CZE,1996 Summer,1

CZE,2000 Summer,1

CZE,2008 Summer,2

CZE,2006 Winter,1

CZE,2010 Winter,2

CZE,2014 Winter,2

CZE,2012 Summer,2

JAM,2004 Summer,6

JAM,2008 Summer,3

JAM,2012 Summer,1

JAM,1996 Summer,1

JAM,2016 Summer,2

AUT,2004 Summer,1

AUT,1948 Summer,1

AUT,2006 Winter,2

AUT,2014 Winter,2

AUT,1924 Winter,2

AUT,2010 Winter,1

AUT,1964 Winter,1

AUT,1948 Winter,1

AUT,1952 Winter,1

AUT,1992 Winter,3

AUT,1980 Summer,1

AUT,1980 Winter,1

AUT,1932 Summer,1

AUT,1994 Winter,1

AUT,1968 Winter,1

AUT,1972 Winter,1

AUT,1956 Winter,1

AUT,1988 Winter,2

LTU,2012 Summer,2

LTU,2000 Summer,1

KOR,1998 Winter,5

KOR,1996 Summer,7

KOR,2006 Winter,7

KOR,1992 Summer,21

KOR,2016 Summer,7

KOR,2002 Winter,5

KOR,2012 Summer,7

KOR,2014 Winter,7

KOR,1988 Summer,18

KOR,2008 Summer,7

KOR,2004 Summer,5

KOR,1994 Winter,5

KOR,2000 Summer,6

KOR,2010 Winter,2

KOR,1984 Summer,1

THA,2008 Summer,1

THA,2004 Summer,2

THA,2016 Summer,2

ANZ,1912 Summer,1

SCG,1996 Summer,1

YUG,1984 Summer,15

YUG,1968 Summer,1

YUG,1988 Summer,1

BAH,2000 Summer,6

BAH,2016 Summer,1

BAH,2004 Summer,1

SRB,2012 Summer,1

MOZ,2000 Summer,1

SVK,2004 Summer,1

SVK,2008 Summer,1

SVK,2010 Winter,1

SVK,2014 Winter,1

PRK,2012 Summer,2

PRK,2008 Summer,2

PRK,1996 Summer,1

PRK,2016 Summer,1

ZIM,1980 Summer,15

ZIM,2004 Summer,1

ZIM,2008 Summer,1

HKG,1996 Summer,1

TPE,2004 Summer,1

TPE,2016 Summer,1

LIE,1980 Winter,2

KOS,2016 Summer,1

