code,games,participants
GER,1908 Summer,6
GER,1960 Summer,22
GER,1956 Summer,23
GER,1952 Winter,2
GER,1952 Summer,26
GER,1932 Summer,7
GER,2010 Winter,15
GER,1992 Winter,7
GER,1956 Winter,1
GER,1960 Winter,1
GER,1928 Winter,5
GER,1896 Summer,2
GER,1904 Summer,7
CAN,1984 Summer,32
CAN,2012 Summer,33
CAN,2016 Summer,61
CAN,2000 Summer,23
CAN,1904 Summer,12
CAN,1976 Summer,14
CAN,1908 Summer,30
CAN,2008 Summer,11
CAN,1952 Winter,1
CAN,1928 Summer,21
CAN,2006 Winter,11
CAN,1932 Summer,24
CAN,1998 Winter,7
CAN,1992 Winter,3
CAN,1996 Summer,12
CAN,2010 Winter,8
CAN,1956 Summer,5
CAN,1984 Winter,1
CAN,1968 Winter,18
CAN,1994 Winter,5
CAN,1956 Winter,18
CAN,1936 Summer,9
CAN,2004 Summer,4
CAN,1964 Winter,1
CAN,1912 Summer,3
CAN,1992 Summer,12
CAN,2002 Winter,15
CAN,1968 Summer,4
CAN,1972 Summer,9
CAN,2014 Winter,5
CAN,1976 Winter,1
CAN,1948 Winter,2
CAN,1988 Summer,14
CAN,1948 Summer,5
CAN,1920 Summer,3
CAN,1932 Winter,5
CAN,1960 Winter,1
CAN,1964 Summer,1
CAN,1924 Summer,1
CAN,1988 Winter,4
CAN,1900 Summer,1
CAN,1980 Winter,1
IRL,2008 Summer,2
IRL,2012 Summer,3
IRL,1956 Summer,3
IRL,1924 Summer,1
IRL,1948 Summer,1
IRL,1964 Summer,1
IRL,1980 Summer,1
IRL,1996 Summer,1
AUS,2008 Summer,76
AUS,2016 Summer,25
AUS,1956 Summer,26
AUS,1996 Summer,84
AUS,2000 Summer,54
AUS,1964 Summer,30
AUS,1952 Summer,11
AUS,1984 Summer,31
AUS,1992 Summer,16
AUS,1960 Summer,11
AUS,1948 Summer,5
AUS,1906 Summer,3
AUS,2004 Summer,31
AUS,2012 Summer,59
AUS,1920 Summer,1
AUS,1924 Summer,2
AUS,1976 Summer,8
AUS,1994 Winter,4
AUS,1980 Summer,5
AUS,1968 Summer,11
AUS,2006 Winter,1
AUS,1988 Summer,11
AUS,1896 Summer,1
AUS,1904 Summer,1
AUS,1972 Summer,2
AUS,1928 Summer,1
AUS,2014 Winter,1
AUS,1936 Summer,1
AUS,1900 Summer,3
AUS,1932 Summer,1
AUS,1998 Winter,1
RSA,1956 Summer,7
RSA,2016 Summer,14
RSA,1948 Summer,2
RSA,1928 Summer,5
RSA,2004 Summer,3
RSA,1932 Summer,3
RSA,1920 Summer,6
RSA,2012 Summer,1
RSA,2000 Summer,3
RSA,1996 Summer,1
RSA,1952 Summer,4
RSA,1924 Summer,1
RSA,1960 Summer,2
ERI,2004 Summer,1
TUN,2016 Summer,3
TUN,1964 Summer,1
TUN,1968 Summer,1
TUN,2012 Summer,1
TUN,1996 Summer,1
BEL,1908 Summer,8
BEL,1928 Summer,4
BEL,1920 Summer,66
BEL,1924 Summer,6
BEL,1936 Summer,14
BEL,1912 Summer,11
BEL,1948 Summer,8
BEL,2000 Summer,4
BEL,1906 Summer,6
BEL,1976 Summer,6
BEL,1900 Summer,13
BEL,2016 Summer,2
BEL,1964 Summer,1
BEL,1968 Summer,2
BEL,1984 Summer,2
BEL,2004 Summer,2
BEL,1996 Summer,2
BEL,1992 Summer,2
BEL,1924 Winter,5
BEL,1960 Summer,2
BEL,1988 Summer,2
BEL,2012 Summer,2
BEL,1928 Winter,1
BEL,1998 Winter,1
BEL,1932 Summer,1
DJI,1988 Summer,1
KAZ,2008 Summer,7
KAZ,2012 Summer,5
KAZ,2016 Summer,10
KAZ,1996 Summer,4
KAZ,2004 Summer,3
KAZ,1998 Winter,2
KAZ,2014 Winter,1
IND,1972 Summer,14
IND,1968 Summer,16
IND,2012 Summer,4
IND,1952 Summer,1
IND,2008 Summer,2
IND,2016 Summer,1
IND,2000 Summer,1
IND,1996 Summer,1
KSA,2012 Summer,4
KSA,2000 Summer,1
SYR,2004 Summer,1
ETH,1992 Summer,2
ETH,2012 Summer,3
ETH,2016 Summer,5
ETH,2008 Summer,2
ETH,2004 Summer,2
ETH,1980 Summer,2
ETH,2000 Summer,3
ETH,1996 Summer,1
ETH,1972 Summer,2
UAE,2016 Summer,1
INA,1996 Summer,3
INA,2004 Summer,3
INA,2000 Summer,2
INA,2008 Summer,3
INA,2012 Summer,1
INA,1992 Summer,1
PHI,1988 Summer,1
PHI,1932 Summer,3
PHI,1992 Summer,1
PHI,1936 Summer,1
PHI,1928 Summer,1
SGP,2012 Summer,4
UZB,2016 Summer,7
UZB,2012 Summer,2
UZB,2008 Summer,3
UZB,2004 Summer,2
UZB,2000 Summer,2
UZB,1996 Summer,1
KGZ,2000 Summer,1
KGZ,2008 Summer,1
TJK,2008 Summer,1
TJK,2012 Summer,1
EUN,1992 Winter,14
EUN,1992 Summer,67
JPN,1964 Summer,25
JPN,1992 Summer,36
JPN,2004 Summer,52
JPN,1992 Winter,7
JPN,1976 Summer,10
JPN,1972 Winter,1
JPN,2016 Summer,34
JPN,1936 Summer,10
JPN,2012 Summer,33
JPN,1996 Summer,13
JPN,1984 Summer,31
JPN,2008 Summer,13
JPN,1998 Winter,4
JPN,1960 Summer,12
JPN,2014 Winter,6
JPN,1994 Winter,2
JPN,1988 Summer,13
JPN,1968 Summer,22
JPN,1972 Summer,8
JPN,2010 Winter,2
JPN,1932 Summer,4
JPN,1956 Summer,5
JPN,1988 Winter,1
JPN,2000 Summer,8
JPN,1924 Summer,1
JPN,1952 Summer,2
JPN,2002 Winter,1
JPN,1928 Summer,1
SUI,1988 Winter,5
SUI,1992 Winter,5
SUI,1920 Summer,21
SUI,1924 Summer,21
SUI,2002 Winter,14
SUI,2014 Winter,20
SUI,1928 Winter,12
SUI,1956 Winter,2
SUI,2006 Winter,9
SUI,2008 Summer,7
SUI,1936 Summer,24
SUI,1948 Winter,19
SUI,1952 Summer,12
SUI,1948 Summer,6
SUI,1976 Winter,2
SUI,1968 Winter,7
SUI,1968 Summer,10
SUI,1998 Winter,3
SUI,1960 Summer,6
SUI,1956 Summer,3
SUI,1994 Winter,4
SUI,1984 Summer,4
SUI,2016 Summer,2
SUI,2010 Winter,6
SUI,1976 Summer,6
SUI,1952 Winter,6
SUI,1984 Winter,4
SUI,1924 Winter,1
SUI,1972 Winter,7
SUI,1988 Summer,2
SUI,1928 Summer,4
SUI,1980 Winter,3
SUI,2004 Summer,4
SUI,1964 Summer,1
SUI,2000 Summer,2
SUI,1906 Summer,1
SUI,1904 Summer,2
SUI,1900 Summer,1
BRA,2000 Summer,36
BRA,1996 Summer,43
BRA,2008 Summer,30
BRA,1948 Summer,10
BRA,1960 Summer,13
BRA,1964 Summer,12
BRA,2012 Summer,11
BRA,1920 Summer,5
BRA,2004 Summer,3
BRA,1984 Summer,2
BRA,1968 Summer,3
BRA,1976 Summer,3
BRA,1952 Summer,2
BRA,2016 Summer,6
BRA,1988 Summer,5
BRA,1980 Summer,5
BRA,1972 Summer,2
FRG,1984 Summer,53
FRG,1980 Winter,6
FRG,1984 Winter,4
FRG,1976 Winter,23
FRG,1972 Summer,39
FRG,1968 Summer,18
FRG,1988 Summer,46
FRG,1976 Summer,32
FRG,1968 Winter,5
FRG,1972 Winter,4
FRG,1988 Winter,3
GDR,1980 Winter,12
GDR,1980 Summer,61
GDR,1968 Summer,19
GDR,1976 Summer,42
GDR,1976 Winter,14
GDR,1988 Summer,48
GDR,1972 Summer,57
GDR,1968 Winter,2
GDR,1972 Winter,12
GDR,1988 Winter,7
GDR,1984 Winter,7
MON,1924 Summer,1
ISR,1996 Summer,1
ISR,2016 Summer,2
ISR,2000 Summer,1
ISR,1992 Summer,1
ISR,2004 Summer,1
ISR,2008 Summer,1
URU,1952 Summer,14
URU,1956 Summer,12
URU,1932 Summer,1
URU,1948 Summer,2
URU,1964 Summer,1
SWE,1912 Summer,25
SWE,1920 Summer,64
SWE,1936 Summer,17
SWE,1908 Summer,18
SWE,1980 Winter,20
SWE,2002 Winter,24
SWE,1984 Winter,21
SWE,1952 Summer,23
SWE,1948 Summer,30
SWE,1924 Summer,43
SWE,1952 Winter,23
SWE,2000 Summer,8
SWE,1992 Summer,7
