code,games,participants
HUN,1976 Summer,14
HUN,2016 Summer,12
HUN,1996 Summer,8
HUN,1992 Summer,14
HUN,1908 Summer,7
HUN,1928 Summer,10
HUN,1896 Summer,2
HUN,1906 Summer,5
HUN,1924 Summer,2
HUN,1904 Summer,2
NGR,1996 Summer,17
NGR,2000 Summer,6
ALG,1992 Summer,1
ALG,2012 Summer,1
ALG,2000 Summer,1
ALG,1996 Summer,2
BRN,2016 Summer,1
PAK,1960 Summer,13
PAK,1968 Summer,13
PAK,1984 Summer,16
GER,2012 Summer,45
GER,1936 Summer,93
GER,1928 Summer,21
GER,2006 Winter,23
GER,2010 Winter,15
GER,1998 Winter,22
GER,2002 Winter,26
GER,2014 Winter,15
GER,1912 Summer,11
GER,2004 Summer,41
GER,1936 Winter,4
GER,1992 Summer,81
GER,1996 Summer,42
GER,1956 Summer,9
GER,2016 Summer,49
GER,2000 Summer,31
GER,1932 Summer,10
GER,1992 Winter,14
GER,1908 Summer,4
GER,1960 Winter,4
GER,2008 Summer,42
GER,1960 Summer,34
GER,1896 Summer,25
GER,1964 Summer,22
GER,1906 Summer,14
GER,1904 Summer,4
GER,1994 Winter,18
GER,1964 Winter,3
GER,1952 Winter,8
GER,1900 Summer,14
GER,1956 Winter,1
CAN,1952 Winter,16
CAN,2006 Winter,30
CAN,2010 Winter,67
CAN,2014 Winter,59
CAN,1936 Summer,1
CAN,1964 Winter,4
CAN,2002 Winter,52
CAN,1956 Summer,5
CAN,1996 Summer,8
CAN,1992 Summer,27
CAN,1984 Summer,19
CAN,1998 Winter,14
CAN,1994 Winter,3
CAN,1928 Summer,7
CAN,1920 Summer,10
CAN,1904 Summer,27
CAN,1984 Winter,2
CAN,1908 Summer,14
CAN,2008 Summer,11
CAN,1924 Winter,9
CAN,1988 Summer,4
CAN,1932 Winter,14
CAN,1992 Winter,5
CAN,1968 Summer,3
CAN,1928 Winter,12
CAN,1948 Winter,13
CAN,2016 Summer,4
CAN,1952 Summer,1
CAN,1912 Summer,3
CAN,1968 Winter,1
CAN,1932 Summer,2
CAN,1960 Winter,3
CAN,1964 Summer,2
CAN,2000 Summer,4
CAN,1976 Winter,1
CAN,2012 Summer,1
CAN,2004 Summer,3
CAN,1900 Summer,1
CAN,1906 Summer,1
IRL,1992 Summer,1
IRL,1956 Summer,1
IRL,1928 Summer,1
IRL,1932 Summer,2
IRL,1996 Summer,3
IRL,2012 Summer,1
AUS,2000 Summer,60
AUS,1972 Summer,11
AUS,1996 Summer,32
AUS,1992 Summer,14
AUS,1988 Summer,18
AUS,2008 Summer,31
AUS,2004 Summer,49
AUS,2016 Summer,23
AUS,2006 Winter,1
AUS,2012 Summer,18
AUS,1964 Summer,8
AUS,2002 Winter,2
AUS,2010 Winter,2
AUS,1980 Summer,6
AUS,1956 Summer,28
AUS,1968 Summer,5
AUS,1924 Summer,3
AUS,1952 Summer,7
AUS,1960 Summer,11
AUS,1932 Summer,3
AUS,1924 Winter,1
AUS,1896 Summer,2
AUS,1984 Summer,7
AUS,1900 Summer,3
AUS,1928 Summer,1
AUS,1948 Summer,2
RSA,1928 Summer,1
RSA,1952 Summer,2
RSA,2012 Summer,6
RSA,1932 Summer,2
RSA,1948 Summer,2
RSA,2004 Summer,4
RSA,1996 Summer,3
RSA,1912 Summer,5
RSA,1920 Summer,3
RSA,2016 Summer,2
RSA,1924 Summer,1
RSA,1908 Summer,1
JOR,2016 Summer,1
TUN,1968 Summer,1
TUN,2008 Summer,1
TUN,2012 Summer,1
BEL,1920 Summer,57
BEL,1912 Summer,7
BEL,1948 Winter,2
BEL,1948 Summer,5
BEL,1996 Summer,2
BEL,1924 Summer,3
BEL,1900 Summer,6
BEL,1952 Summer,5
BEL,2008 Summer,1
BEL,2004 Summer,1
BEL,1984 Summer,1
BEL,1964 Summer,2
BEL,2016 Summer,2
BEL,1908 Summer,1
BEL,1980 Summer,1
BEL,1906 Summer,2
KAZ,2004 Summer,1
KAZ,2016 Summer,3
KAZ,2012 Summer,7
KAZ,2000 Summer,3
KAZ,2008 Summer,2
KAZ,1996 Summer,3
KAZ,1994 Winter,1
IND,1928 Summer,14
IND,1964 Summer,15
IND,1932 Summer,15
IND,1936 Summer,19
IND,1980 Summer,16
IND,2008 Summer,1
IND,1948 Summer,20
IND,1952 Summer,14
IND,1956 Summer,17
IND,1924 Winter,7
SYR,1996 Summer,1
ETH,2000 Summer,4
ETH,2016 Summer,1
ETH,2004 Summer,2
ETH,2008 Summer,4
ETH,1960 Summer,1
ETH,1964 Summer,1
ETH,2012 Summer,3
ETH,1996 Summer,2
ETH,1992 Summer,1
ETH,1968 Summer,1
ETH,1980 Summer,2
UAE,2004 Summer,1
INA,2016 Summer,2
INA,1992 Summer,2
INA,2000 Summer,2
INA,2004 Summer,1
INA,2008 Summer,2
INA,1996 Summer,2
SGP,2016 Summer,1
UZB,2000 Summer,1
UZB,1994 Winter,1
UZB,2004 Summer,2
UZB,2016 Summer,4
UZB,2008 Summer,1
UZB,2012 Summer,1
TJK,2016 Summer,1
EUN,1992 Summer,92
EUN,1992 Winter,35
JPN,1994 Winter,3
JPN,1960 Summer,9
JPN,2004 Summer,21
JPN,1972 Summer,29
JPN,1936 Summer,9
JPN,2006 Winter,1
JPN,1976 Summer,25
JPN,2016 Summer,17
JPN,2008 Summer,23
JPN,1996 Summer,3
JPN,1964 Summer,32
JPN,1968 Summer,16
JPN,1998 Winter,8
JPN,1956 Summer,4
JPN,1984 Summer,10
JPN,2014 Winter,1
JPN,2012 Summer,7
JPN,2000 Summer,5
JPN,1952 Summer,1
JPN,1992 Summer,3
JPN,1972 Winter,1
JPN,1932 Summer,10
JPN,1988 Summer,4
JPN,1992 Winter,3
JPN,1928 Summer,2
SUI,1992 Winter,2
SUI,1994 Winter,4
SUI,1924 Summer,14
SUI,1956 Winter,6
SUI,2002 Winter,3
SUI,2010 Winter,6
